gloss,diff,high,low,stem_gloss,molly_pos
dear,0.05392156862745098,0.05392156862745098,0,dear,Adjective
big,0.049019607843137254,0.09803921568627451,0.049019607843137254,big,Adjective
stuck,0.04411764705882353,0.05392156862745098,0.00980392156862745,stuck,Adjective
hot,0.03431372549019608,0.058823529411764705,0.024509803921568627,hot,Adjective
fall,0.029411764705882356,0.04411764705882353,0.014705882352941176,fall,Adjective
right,0.029411764705882356,0.05392156862745098,0.024509803921568627,right,Adjective
white,0.029411764705882353,0.0392156862745098,0.00980392156862745,white,Adjective
just,0.02450980392156863,0.03431372549019608,0.00980392156862745,just,Adjective
yellow,0.024509803921568627,0.049019607843137254,0.024509803921568627,yellow,Adjective
round,0.019607843137254905,0.04411764705882353,0.024509803921568627,round,Adjective
broken,0.0196078431372549,0.0392156862745098,0.0196078431372549,broken,Adjective
happy,0.0196078431372549,0.029411764705882353,0.00980392156862745,happy,Adjective
jigsaw,0.0196078431372549,0.0196078431372549,0,jigsaw,Adjective
open,0.0196078431372549,0.049019607843137254,0.029411764705882353,open,Adjective
ready,0.0196078431372549,0.024509803921568627,0.004901960784313725,ready,Adjective
black,0.014705882352941176,0.024509803921568627,0.00980392156862745,black,Adjective
dirty,0.014705882352941176,0.029411764705882353,0.014705882352941176,dirty,Adjective
little,0.014705882352941176,0.0392156862745098,0.024509803921568627,little,Adjective
nice,0.014705882352941176,0.029411764705882353,0.014705882352941176,nice,Adjective
poor,0.014705882352941176,0.014705882352941176,0,poor,Adjective
tiny,0.014705882352941176,0.014705882352941176,0,tiny,Adjective
wrong,0.014705882352941176,0.014705882352941176,0,wrong,Adjective
asleep,0.00980392156862745,0.00980392156862745,0,asleep,Adjective
better,0.00980392156862745,0.0196078431372549,0.00980392156862745,better,Adjective
bouncy,0.00980392156862745,0.00980392156862745,0,bouncy,Adjective
cool,0.00980392156862745,0.00980392156862745,0,cool,Adjective
cute,0.00980392156862745,0.00980392156862745,0,cute,Adjective
empty,0.00980392156862745,0.014705882352941176,0.004901960784313725,empty,Adjective
hard,0.00980392156862745,0.014705882352941176,0.004901960784313725,hard,Adjective
hungry,0.00980392156862745,0.00980392156862745,0,hungry,Adjective
long,0.00980392156862745,0.00980392156862745,0,long,Adjective
loud,0.00980392156862745,0.00980392156862745,0,loud,Adjective
next,0.00980392156862745,0.00980392156862745,0,next,Adjective
present,0.00980392156862745,0.00980392156862745,0,present,Adjective
sorry,0.00980392156862745,0.00980392156862745,0,sorry,Adjective
warm,0.00980392156862745,0.00980392156862745,0,warm,Adjective
bare,0.004901960784313725,0.004901960784313725,0,bare,Adjective
cheeky,0.004901960784313725,0.004901960784313725,0,cheeky,Adjective
closed,0.004901960784313725,0.004901960784313725,0,close,Adjective
dark,0.004901960784313725,0.00980392156862745,0.004901960784313725,dark,Adjective
dead,0.004901960784313725,0.004901960784313725,0,dead,Adjective
fair,0.004901960784313725,0.004901960784313725,0,fair,Adjective
