afraid,scared,,,,,,,,
car,vehicle,,,,,,,,
big,large,,,,,,,,
blank,empty,,,,,,,,
bunny,rabbit,,,,,,,,
cap,hat,,,,,,,,
center,middle,,,,,,,,
sofa,couch,,,,,,,,
evil,bad,,,,,,,,
father,dad,,,,,,,,
funny,silly,,,,,,,,
garbage,trash,,,,,,,,
joyful,cheerful,,,,,,,,
sad,unhappy,,,,,,,,
house,home,,,,,,,,
idea,though,,,,,,,,
sick ,ill,,,,,,,,
listen,hear,,,,,,,,
little,tiny,,,,,,,,
look,see,,,,,,,,
mad,angry,,,,,,,,
mother,mom,,,,,,,,
neat,tidy,,,,,,,,
present,gift,,,,,,,,
quick,fast,,,,,,,,
quiet,calm,,,,,,,,
rest,relax,,,,,,,,
rock,stone,,,,,,,,
rug,carpet,,,,,,,,
sack,bag,,,,,,,,
sniff,snell,,,,,,,,
strange,odd,,,,,,,,
tall,high,,,,,,,,
TRUE,right,,,,,,,,
under,below,,,,,,,,
yell,shout,,,,,,,,
