gloss,stem_gloss,pos,molly_pos
asleep,asleep,Adverb,Adjective
broken,broken,Verb (usu participle),Adjective
closed,close,Noun,Adjective
fall,fall,Noun,Adjective
jigsaw,jigsaw,Noun,Adjective
little,little,Definite Article,Adjective
lolly,lolly,Noun,Adjective
missing,miss,Noun,Adjective
pickled,pickle,Noun,Adjective
post,post,Noun,Adjective
rolly,rolly,NA,Adjective
scared,scar,Noun,Adjective
stuck,stuck,Verb (usu participle),Adjective
yellow,yellow,Noun,Adjective
wee,wee,Adjective,Adjective
bad,bad,Adjective,Adjective
bare,bare,Adjective,Adjective
better,better,Adjective,Adjective
big,big,Adjective,Adjective
biggest,biggest,Adjective,Adjective
black,black,Adjective,Adjective
bouncy,bouncy,Adjective,Adjective
careful,careful,Adjective,Adjective
cheeky,cheeky,Adjective,Adjective
clean,clean,Adjective,Adjective
cold,cold,Adjective,Adjective
cool,cool,Adjective,Adjective
crunchy,crunchy,Adjective,Adjective
cute,cute,Adjective,Adjective
dark,dark,Adjective,Adjective
dead,dead,Adjective,Adjective
dear,dear,Adjective,Adjective
dirty,dirty,Adjective,Adjective
empty,empty,Adjective,Adjective
fair,fair,Adjective,Adjective
faster,fast,Adjective,Adjective
first,first,Adjective,Adjective
funny,funny,Adjective,Adjective
good,good,Adjective,Adjective
happy,happy,Adjective,Adjective
hard,hard,Adjective,Adjective
heavy,heavy,Adjective,Adjective
high+chair,high,Adjective,Adjective
hot,hot,Adjective,Adjective
hungry,hungry,Adjective,Adjective
just,just,Adjective,Adjective
late,late,Adjective,Adjective
left,left,Adjective,Adjective
long,long,Adjective,Adjective
lost,lost,Adjective,Adjective
loud,loud,Adjective,Adjective
muddy,muddy,Adjective,Adjective
naughty,naughty,Adjective,Adjective
new,new,Adjective,Adjective
next,next,Adjective,Adjective
nice,nice,Adjective,Adjective
noisy,noisy,Adjective,Adjective
old,old,Adjective,Adjective
open,open,Adjective,Adjective
opposite,opposite,Adjective,Adjective
polar,polar,Adjective,Adjective
poor,poor,Adjective,Adjective
present,present,Adjective,Adjective
pretty,pretty,Adjective,Adjective
quick,quick,Adjective,Adjective
ready,ready,Adjective,Adjective
really,real,Adjective,Adjective
right,right,Adjective,Adjective
round,round,Adjective,Adjective
sad,sad,Adjective,Adjective
same,same,Adjective,Adjective
scary,scary,Adjective,Adjective
short,short,Adjective,Adjective
sick,sick,Adjective,Adjective
silly,silly,Adjective,Adjective
sleepy,sleepy,Adjective,Adjective
small,small,Adjective,Adjective
smelly,smelly,Adjective,Adjective
sorry,sorry,Adjective,Adjective
steady,steady,Adjective,Adjective
sticky,sticky,Adjective,Adjective
still,still,Adjective,Adjective
straight,straight,Adjective,Adjective
sweet,sweet,Adjective,Adjective
tall,tall,Adjective,Adjective
tiny,tiny,Adjective,Adjective
warm,warm,Adjective,Adjective
welcome,welcome,Adjective,Adjective
