form,lemma
From,from
the,the
AP,AP
comes,come
this,this
story,story
:,:
President,President
Bush,Bush
on,on
Tuesday,Tuesday
nominated,nominate
two,two
individuals,individual
to,to
replace,replace
retiring,retire
jurists,jurist
on,on
federal,federal
courts,court
in,in
the,the
Washington,Washington
area,area
.,.
Bush,Bush
nominated,nominate
Jennifer,Jennifer
M.,M.
Anderson,Anderson
for,for
a,a
15,15
-,-
year,year
term,term
as,as
associate,associate
judge,judge
of,of
the,the
Superior,Superior
Court,Court
of,of
the,the
District,District
of,of
Columbia,Columbia
",",","
replacing,replace
Steffen,Steffen
W.,W.
Graae,Graae
.,.
***,***
Bush,Bush
also,also
nominated,nominate
A.,A.
Noel,Noel
Anketell,Anketell
Kramer,Kramer
for,for
a,a
15,15
-,-
year,year
term,term
as,as
associate,associate
judge,judge
of,of
the,the
District,District
of,of
Columbia,Columbia
Court,Court
of,of
Appeals,Appeals
",",","
replacing,replace
John,John
Montague,Montague
Steadman,Steadman
.,.
The,the
sheikh,sheikh
in,in
wheel,wheel
-,-
chair,chair
has,have
been,be
attacked,attack
with,with
a,a
F,f
-,-
16,16
-,-
launched,launch
bomb,bomb
.,.
He,he
could,could
be,be
killed,kill
years,year
ago,ago
and,and
the,the
israelians,israelians
have,have
all,all
the,the
reasons,reason
",",","
since,since
he,he
founded,found
and,and
he,he
is,be
the,the
spiritual,spiritual
leader,leader
of,of
Hamas,Hamas
",",","
but,but
they,they
did,do
n't,not
.,.
Today,today
's,'s
incident,incident
proves,prove
that,that
Sharon,Sharon
has,have
lost,lose
his,he
patience,patience
and,and
his,he
hope,hope
in,in
peace,peace
.,.
Nervous,nervous
people,people
make,make
mistakes,mistake
",",","
so,so
I,I
suppose,suppose
there,there
will,will
be,be
a,a
wave,wave
of,of
succesfull,succesfull
arab,arab
attacks,attack
.,.
A,a
la,la
guerre,guerre
c'est,c'est
comme,comme
a,a
la,la
guerre,guerre
!,!
In,in
the,the
eastern,eastern
city,city
of,of
Baqubah,Baqubah
",",","
guerrillas,guerrilla
detonated,detonate
a,a
car,car
bomb,bomb
outside,outside
a,a
police,police
station,station
",",","
killing,kill
several,several
people,people
.,.
The,the
US,US
lost,lose
yet,yet
another,another
helicopter,helicopter
to,to
hostile,hostile
fire,fire
near,near
Habbaniyah,Habbaniyah
in,in
the,the
Sunni,sunni
heartland,heartland
",",","
but,but
this,this
time,time
the,the
crew,crew
was,be
safe,safe
.,.
In,in
Fallujah,Fallujah
",",","
hundreds,hundred
of,of
demonstrators,demonstrator
came,come
out,out
against,against
US,US
troops,troops
when,when
they,they
briefly,briefly
arrested,arrest
a,a
yound,yound
newlywed,newlywed
bride,bride
.,.
(,(
I,I
hope,hope
that,that
the,the
US,US
army,army
got,get
an,a
enormous,enormous
amount,amount
of,of
information,information
from,from
her,she
relatives,relative
",",","
because,because
otherwise,otherwise
this,this
move,move
was,be
a,a
bad,bad
",",","
bad,bad
tradeoff,tradeoff
),)
.,.
The,the
US,US
troops,troops
fired,fire
into,into
the,the
hostile,hostile
crowd,crowd
",",","
killing,kill
4,4
.,.
It,it
seems,seem
clear,clear
to,to
me,I
that,that
the,the
manhunt,manhunt
for,for
high,high
Baath,Baath
officials,official
in,in
the,the
Sunni,sunni
heartland,heartland
is,be
being,be
done,do
wrong,wrong
",",","
or,or
at,at
least,least
in,in
ways,way
that,that
are,be
bad,bad
for,for
US,US
standing,standing
with,with
local,local
Iraqis,Iraqis
.,.
Google,Google
has,have
finally,finally
had,have
an,a
analyst,analyst
day,day
--,--
a,a
chance,chance
to,to
present,present
the,the
company,company
's,'s
story,story
to,to
the,the
(,(
miniscule,miniscule
number,number
of,of
),)
people,people
who,who
have,have
n't,not
heard,hear
it,it
.,.
Usually,usually
",",","
these,these
are,be
just,just
a,a
chance,chance
for,for
the,the
suckups,suckup
to,to
suck,suck
up,up
",",","
but,but
this,this
time,time
people,people
are,be
actually,actually
concerned,concerned
about,about
the,the
company,company
's,'s
plans,plan
.,.
They,they
work,work
on,on
Wall,Wall
Street,Street
",",","
after,after
all,all
",",","
so,so
when,when
they,they
hear,hear
a,a
company,company
who's,who's
stated,state
goals,goal
include,include
	,PUNCT
Do,do
n't,not
be,be
evil,evil
",",","
	,PUNCT
they,they
imagine,imagine
a,a
company,company
who's,who's
eventually,eventually
history,history
will,will
be,be
	,PUNCT
Do,do
n't,not
be,be
profitable,profitable
.,.
	,PUNCT
It,it
's,be
not,not
quite,quite
as,as
freewheeling,freewheeling
an,a
environment,environment
as,as
you,you
'd,would
imagine,imagine
:,:
Sergey,Sergey
Brin,Brin
has,have
actually,actually
created,create
a,a
mathematical,mathematical
','
proof,proof
','
that,that
the,the
company,company
's,'s
self,self
-,-
driven,drive
research,research
strategy,strategy
",",","
which,which
gives,give
employees,employee
one,one
day,day
a,a
week,week
to,to
do,do
research,research
projects,project
on,on
their,they
own,own
",",","
is,be
a,a
good,good
",",","
respectable,respectable
idea,idea
.,.
Read,read
the,the
entire,entire
article,article
;,;
there,there
's,be
a,a
punchline,punchline
",",","
too,too
.,.
My,my
opinion,opinion
piece,piece
on,on
the,the
implications,implication
of,of
Arafat,Arafat
's,'s
passing,passing
for,for
al,al
-,-
Qaeda,Qaeda
has,have
appeared,appear
at,at
Newsday,Newsday
.,.
Excerpt,excerpt
:,:
