target_child_id,delta_resid_group,target_child_name,corpus_name,collection
2585,high,Andrew,NewEngland,Eng-NA
2591,high,Christina,NewEngland,Eng-NA
2597,high,Lindsay,NewEngland,Eng-NA
2636,low,John,NewEngland,Eng-NA
2676,low,Colin,NewEngland,Eng-NA
2727,high,April,Higginson,Eng-NA
3088,high,Eve,Brown,Eng-NA
3136,low,Emily,Nelson,Eng-NA
3141,high,Trevor,Demetras1,Eng-NA
3376,low,Michael,Demetras2,Eng-NA
3748,low,Alex,Providence,Eng-NA
3764,low,Ethan,Providence,Eng-NA
3774,low,Lily,Providence,Eng-NA
3789,low,Naima,Providence,Eng-NA
3801,low,Violet,Providence,Eng-NA
3810,low,William,Providence,Eng-NA
3825,low,Steven,Feldman,Eng-NA
3972,high,Geraldine,Cornell,Eng-NA
4041,low,Ross,MacWhinney,Eng-NA
4084,low,Naomi,Sachs,Eng-NA
4717,low,Lew,Post,Eng-NA
4722,low,She,Post,Eng-NA
4726,high,Tow,Post,Eng-NA
4848,low,Betty,Bates,Eng-NA
4850,low,Chuck,Bates,Eng-NA
4852,low,Doug,Bates,Eng-NA
4854,high,Ed,Bates,Eng-NA
4856,low,Frank,Bates,Eng-NA
4858,low,Gloria,Bates,Eng-NA
4860,high,Hank,Bates,Eng-NA
4862,high,Ivy,Bates,Eng-NA
4866,high,Jim,Bates,Eng-NA
4868,low,Kathy,Bates,Eng-NA
4870,low,Keith,Bates,Eng-NA
4872,low,Kent,Bates,Eng-NA
4874,high,Linda,Bates,Eng-NA
4876,high,Mandy,Bates,Eng-NA
4878,high,Nan,Bates,Eng-NA
4880,high,Olivia,Bates,Eng-NA
4883,low,Paula,Bates,Eng-NA
4887,low,Ruth,Bates,Eng-NA
4889,high,Steve,Bates,Eng-NA
4892,high,Sue,Bates,Eng-NA
4894,low,Tom,Bates,Eng-NA
4896,high,Vicki,Bates,Eng-NA
4898,low,Wanda,Bates,Eng-NA
4900,low,Will,Bates,Eng-NA
4902,low,Zeke,Bates,Eng-NA
5054,high,Nina,Suppes,Eng-NA
5193,high,Laura,Braunwald,Eng-NA
5241,high,Peter,Bloom70,Eng-NA
14346,high,Thomas,Thomas,Eng-UK
14375,low,Ella,Forrester,Eng-UK
14387,low,Abigail,Wells,Eng-UK
14408,low,Benjamin,Wells,Eng-UK
14422,low,Betty,Wells,Eng-UK
14432,low,Darren,Wells,Eng-UK
14449,low,Debbie,Wells,Eng-UK
14457,low,Ellen,Wells,Eng-UK
14487,high,Elspeth,Wells,Eng-UK
14495,low,Frances,Wells,Eng-UK
14506,low,Gary,Wells,Eng-UK
14520,low,Gavin,Wells,Eng-UK
14532,low,Geoffrey,Wells,Eng-UK
14544,low,Gerald,Wells,Eng-UK
14555,low,Harriet,Wells,Eng-UK
14572,low,Iris,Wells,Eng-UK
14579,low,Jack,Wells,Eng-UK
14592,low,Jason,Wells,Eng-UK
14608,low,Jonathan,Wells,Eng-UK
14616,high,Laura,Wells,Eng-UK
14640,low,Lee,Wells,Eng-UK
14646,low,Martin,Wells,Eng-UK
14658,high,Nancy,Wells,Eng-UK
14671,high,Neil,Wells,Eng-UK
14687,high,Neville,Wells,Eng-UK
14698,low,Olivia,Wells,Eng-UK
14712,high,Penny,Wells,Eng-UK
14734,high,Rosie,Wells,Eng-UK
14748,high,Samantha,Wells,Eng-UK
14775,low,Sheila,Wells,Eng-UK
14784,high,Simon,Wells,Eng-UK
14795,high,Stella,Wells,Eng-UK
14805,low,Tony,Wells,Eng-UK
14970,high,Anne,Manchester,Eng-UK
14975,high,Aran,Manchester,Eng-UK
14978,high,Becky,Manchester,Eng-UK
14982,high,Carl,Manchester,Eng-UK
14990,high,Dominic,Manchester,Eng-UK
14996,high,Gail,Manchester,Eng-UK
15001,high,Joel,Manchester,Eng-UK
15008,high,John,Manchester,Eng-UK
15014,high,Liz,Manchester,Eng-UK
15021,high,Nicole,Manchester,Eng-UK
15027,high,Ruth,Manchester,Eng-UK
15033,high,Warren,Manchester,Eng-UK
15058,high,Eleanor,MPI-EVA-Manchester,Eng-UK
15091,high,Fraser,MPI-EVA-Manchester,Eng-UK
15110,high,Lara,Lara,Eng-UK
15193,high,David,Belfast,Eng-UK
15239,high,Jane,Cruttenden,Eng-UK
15240,high,Lucy,Cruttenden,Eng-UK
