type,.,
high_crit_words,animals,N
high_crit_words,Anna's,name
high_crit_words,Anne,name
high_crit_words,apples,N
high_crit_words,as_well,o
high_crit_words,ask,V
high_crit_words,ate,V
high_crit_words,baby's,N
high_crit_words,bash,N
high_crit_words,basket,N
high_crit_words,been,V
high_crit_words,behind,P
high_crit_words,bib,N
high_crit_words,blow,V
high_crit_words,Bobby,name
high_crit_words,break,V
high_crit_words,brick,N
high_crit_words,brm,o
high_crit_words,build,V
high_crit_words,building,VN
high_crit_words,bumped,V
high_crit_words,Caroline,name
high_crit_words,Caroline's,name
high_crit_words,carry,V
high_crit_words,Cathy,name
high_crit_words,change,VN
high_crit_words,chimney,N
high_crit_words,chip,VN
high_crit_words,Christmas,N
high_crit_words,clay,N
high_crit_words,closed,VA
high_crit_words,cock_a_doodle_doo,o
high_crit_words,cone,N
high_crit_words,corner,N
high_crit_words,couch,N
high_crit_words,cover,VN
high_crit_words,crisp,A
high_crit_words,curtain,N
high_crit_words,cushion,N
high_crit_words,dancing,V
high_crit_words,dead,A
high_crit_words,dig,V
high_crit_words,dish,N
high_crit_words,doctor,N
high_crit_words,donkey,N
high_crit_words,driver,N
high_crit_words,dropped,V
high_crit_words,Dumpty,name
high_crit_words,ear,N
high_crit_words,ears,N
high_crit_words,excuse,N
high_crit_words,falling,V
high_crit_words,fence,N
high_crit_words,field,N
high_crit_words,finished,V
high_crit_words,forgot,V
high_crit_words,fork,N
high_crit_words,front,P
high_crit_words,garbage,N
high_crit_words,George,name
high_crit_words,Georgie,name
high_crit_words,giddyup,o
high_crit_words,ginger,N
high_crit_words,girls,N
high_crit_words,gorilla,N
high_crit_words,grape,N
high_crit_words,hear,V
high_crit_words,hen,N
high_crit_words,high,P
high_crit_words,high+chair,N
high_crit_words,hill,N
high_crit_words,hit,V
high_crit_words,Humpty,name
high_crit_words,Humpty_Dumpty,name
high_crit_words,jacket,N
high_crit_words,Jess,name
high_crit_words,Jill,name
high_crit_words,Jim,name
high_crit_words,king,N
high_crit_words,knee,N
high_crit_words,ladder,N
high_crit_words,lights,N
high_crit_words,living,V
high_crit_words,lorry,N
high_crit_words,lunch,N
high_crit_words,many,q
high_crit_words,matter,N
high_crit_words,medicine,N
high_crit_words,men,N
high_crit_words,mirror,N
high_crit_words,must,V
high_crit_words,never,o
high_crit_words,next,P
high_crit_words,night_night,o
high_crit_words,ones,o
high_crit_words,owie,o
high_crit_words,own,pro
high_crit_words,part,A
high_crit_words,peach,N
high_crit_words,peanut+butter,N
high_crit_words,peekaboo,o
high_crit_words,pens,N
high_crit_words,pepper,N
high_crit_words,Peter,name
high_crit_words,piggie,N
high_crit_words,pipe,N
high_crit_words,plane,N
high_crit_words,poo,N
high_crit_words,poorly,adv
high_crit_words,post,N
high_crit_words,pounds,N
high_crit_words,Rachel,name
high_crit_words,ramp,N
high_crit_words,reading,V
high_crit_words,recorder,N
high_crit_words,remember,V
high_crit_words,rest,VN
high_crit_words,running,V
high_crit_words,salt,N
high_crit_words,Sam,name
high_crit_words,Sandy,name
high_crit_words,Santa,N
high_crit_words,sat,V
high_crit_words,save,V
high_crit_words,screw,V
high_crit_words,sea,N
high_crit_words,set,VN
high_crit_words,shall,V
high_crit_words,shelf,N
high_crit_words,shoot,V
high_crit_words,shopping,V
high_crit_words,shops,VN
high_crit_words,show,VN
high_crit_words,side,p
high_crit_words,sing,V
high_crit_words,smile,V
high_crit_words,smoke,VN
high_crit_words,sore,AN
high_crit_words,soup,N
high_crit_words,splash,VN
high_crit_words,stand,VN
high_crit_words,steady,A
high_crit_words,steps,N
high_crit_words,still,A
high_crit_words,stocking,N
high_crit_words,store,N
high_crit_words,street,N
high_crit_words,Sue,name
high_crit_words,sweet,A
high_crit_words,swim,V
high_crit_words,talking,V
high_crit_words,tape+recorder,N
high_crit_words,taste,V
high_crit_words,teacher,N
high_crit_words,Ted,name
high_crit_words,teeth,N
high_crit_words,tell,V
high_crit_words,thank_you,o
high_crit_words,thumb,N
