type,.
high_crit_words,aah
high_crit_words,achoo
high_crit_words,actually
high_crit_words,air
high_crit_words,airplane
high_crit_words,animals
high_crit_words,Anna
high_crit_words,Anna's
high_crit_words,Anne
high_crit_words,apples
high_crit_words,as_well
high_crit_words,ask
high_crit_words,asleep
high_crit_words,ate
high_crit_words,ba
high_crit_words,baby's
high_crit_words,bare
high_crit_words,bash
high_crit_words,basket
high_crit_words,beads
high_crit_words,beepbeep
high_crit_words,behind
high_crit_words,Bertie
high_crit_words,bin
high_crit_words,biscuit
high_crit_words,biscuits
high_crit_words,bits
high_crit_words,blow
high_crit_words,boats
high_crit_words,Bob_the_Builder
high_crit_words,Bobby
high_crit_words,body
high_crit_words,boing
high_crit_words,bone
high_crit_words,bottom
high_crit_words,bounce
high_crit_words,bouncy
high_crit_words,boys
high_crit_words,break
high_crit_words,brick
high_crit_words,brm
high_crit_words,brumm
high_crit_words,build
high_crit_words,building
high_crit_words,bump
high_crit_words,car's
high_crit_words,Caroline
high_crit_words,Caroline's
high_crit_words,carry
high_crit_words,castle
high_crit_words,Cathy
high_crit_words,cheeky
high_crit_words,chimney
high_crit_words,chip
high_crit_words,chips
high_crit_words,chocolate
high_crit_words,choochoo
high_crit_words,Christmas
high_crit_words,clay
high_crit_words,climbing
high_crit_words,closed
high_crit_words,cock_a_doodle_doo
high_crit_words,colors
high_crit_words,cone
high_crit_words,coo
high_crit_words,cook
high_crit_words,cooking
high_crit_words,cool
high_crit_words,corner
high_crit_words,couch
high_crit_words,could
high_crit_words,count
high_crit_words,cover
high_crit_words,crab
high_crit_words,crashing
high_crit_words,crisp
high_crit_words,crisps
high_crit_words,crocodile
high_crit_words,cross
high_crit_words,cushion
high_crit_words,cute
high_crit_words,cutting
high_crit_words,Cwww
high_crit_words,dancing
high_crit_words,de
high_crit_words,dead
high_crit_words,dear
high_crit_words,dere
high_crit_words,diamond
high_crit_words,Diesel
high_crit_words,dig
high_crit_words,dis
high_crit_words,Dizzy
high_crit_words,doctor
high_crit_words,dolly
high_crit_words,dolly's
high_crit_words,dolphin
high_crit_words,dough
high_crit_words,downstairs
high_crit_words,drawing
high_crit_words,driver
high_crit_words,driving
high_crit_words,dumper
high_crit_words,Dumpty
high_crit_words,ear
high_crit_words,ears
high_crit_words,Edward
high_crit_words,Eeyore
high_crit_words,eleven
high_crit_words,em
high_crit_words,Ernie
high_crit_words,everybody
high_crit_words,excuse
high_crit_words,face
high_crit_words,fair
high_crit_words,falling
high_crit_words,fast
high_crit_words,fence
high_crit_words,field
high_crit_words,finish
high_crit_words,finished
high_crit_words,fit
high_crit_words,food
high_crit_words,forgot
high_crit_words,fork
high_crit_words,found
high_crit_words,fourteen
high_crit_words,front
high_crit_words,garden
high_crit_words,gate
high_crit_words,getting
high_crit_words,giddyup
high_crit_words,ginger
high_crit_words,giraffe
high_crit_words,girls
high_crit_words,Gordon
high_crit_words,gorilla
high_crit_words,gotta
high_crit_words,Grandad
high_crit_words,Granddad
high_crit_words,Grandpa's
high_crit_words,Granny
high_crit_words,grape
high_crit_words,gun
high_crit_words,happy_birthday
high_crit_words,Harold
high_crit_words,have_to
high_crit_words,hear
high_crit_words,helicopter
high_crit_words,hen
high_crit_words,Henry
high_crit_words,hide
high_crit_words,high
high_crit_words,high+chair
high_crit_words,hill
high_crit_words,hippo
high_crit_words,hit
high_crit_words,holiday
high_crit_words,honey
high_crit_words,hooray
high_crit_words,Humpty
high_crit_words,hungry
high_crit_words,I've
high_crit_words,if
high_crit_words,inside
high_crit_words,iron
high_crit_words,Jack
high_crit_words,jacket
high_crit_words,jam
high_crit_words,James
high_crit_words,Jeannine
high_crit_words,Jess
high_crit_words,jigsaw
high_crit_words,Jill
high_crit_words,Jim
high_crit_words,jumper
high_crit_words,Jwww
high_crit_words,keep
high_crit_words,king
high_crit_words,kite
high_crit_words,ladder
high_crit_words,ladybird
high_crit_words,Lala
high_crit_words,later
high_crit_words,let
high_crit_words,lights
high_crit_words,living
high_crit_words,long
high_crit_words,lots
high_crit_words,loud
high_crit_words,love
high_crit_words,many
high_crit_words,march
high_crit_words,market
high_crit_words,matter
high_crit_words,medicine
high_crit_words,men
high_crit_words,mhm
high_crit_words,mind
high_crit_words,minute
high_crit_words,mirror
high_crit_words,miss
high_crit_words,mix
high_crit_words,monkeys
high_crit_words,monster
high_crit_words,move
high_crit_words,much
high_crit_words,Mummy's
high_crit_words,must
high_crit_words,Mwww
high_crit_words,myself
high_crit_words,nana
high_crit_words,Nana
high_crit_words,nappie
high_crit_words,neenaw
high_crit_words,never
high_crit_words,next
high_crit_words,Noddy
high_crit_words,nut
high_crit_words,octopus
high_crit_words,ones
high_crit_words,oven
high_crit_words,owie
high_crit_words,oy
high_crit_words,painting
high_crit_words,panda
high_crit_words,panda's
high_crit_words,park
high_crit_words,part
high_crit_words,party
high_crit_words,past
high_crit_words,pencil
high_crit_words,penny
high_crit_words,pens
high_crit_words,pepper
high_crit_words,Peter
high_crit_words,phone
high_crit_words,piglet
high_crit_words,Pingu
high_crit_words,pipe
high_crit_words,plane
high_crit_words,poo
high_crit_words,pooed
high_crit_words,Pooh_Bear
high_crit_words,pool
high_crit_words,poor
high_crit_words,poorly
high_crit_words,post
high_crit_words,Postman_Pat
high_crit_words,pounds
high_crit_words,pour
high_crit_words,present
high_crit_words,press
high_crit_words,puppet
high_crit_words,Rachel
high_crit_words,rainbow
high_crit_words,ramp
high_crit_words,reading
high_crit_words,remember
high_crit_words,riding
high_crit_words,roar
high_crit_words,rocket
high_crit_words,roof
high_crit_words,row
high_crit_words,sad
high_crit_words,salad
high_crit_words,salt
high_crit_words,Sam
high_crit_words,sandwich
high_crit_words,Santa
high_crit_words,sat
high_crit_words,sausage
high_crit_words,save
high_crit_words,scary
high_crit_words,scissors
high_crit_words,screw
high_crit_words,sea
high_crit_words,seal
high_crit_words,set
high_crit_words,shall
high_crit_words,shape
high_crit_words,shed
high_crit_words,shelf
high_crit_words,shoot
high_crit_words,shop
high_crit_words,shopping
high_crit_words,shops
high_crit_words,shoulders
high_crit_words,show
high_crit_words,sing
high_crit_words,sink
high_crit_words,sir
high_crit_words,slippers
high_crit_words,smile
high_crit_words,snail
high_crit_words,snow
high_crit_words,sore
high_crit_words,sorry
high_crit_words,soup
high_crit_words,spaghetti
high_crit_words,splash
high_crit_words,squeeze
high_crit_words,stamp
high_crit_words,stand
high_crit_words,standing
high_crit_words,starfish
high_crit_words,steady
high_crit_words,step
high_crit_words,steps
high_crit_words,stocking
high_crit_words,store
high_crit_words,straight
high_crit_words,strawberries
high_crit_words,street
high_crit_words,stroke
high_crit_words,Sue
high_crit_words,sugar
high_crit_words,sweet
high_crit_words,sweeties
high_crit_words,swim
high_crit_words,swimming
high_crit_words,talking
high_crit_words,taste
high_crit_words,teacher
high_crit_words,Ted
high_crit_words,teddybear
high_crit_words,teeth
high_crit_words,telephone
high_crit_words,tell
high_crit_words,thank
high_crit_words,thanks
high_crit_words,their
high_crit_words,thirteen
high_crit_words,thumb
high_crit_words,thunder
high_crit_words,tick+tock
high_crit_words,tiger
high_crit_words,tigers
high_crit_words,tiny
high_crit_words,tip
high_crit_words,Toby
high_crit_words,together
high_crit_words,toilet
high_crit_words,Tom
high_crit_words,tongue
high_crit_words,touch
high_crit_words,trees
high_crit_words,trousers
high_crit_words,trunk
high_crit_words,twelve
high_crit_words,twenty
high_crit_words,ugh
high_crit_words,uhhuh
high_crit_words,uhhum
high_crit_words,uhuh
high_crit_words,van
high_crit_words,very
high_crit_words,video
high_crit_words,vroom
high_crit_words,wah
high_crit_words,wait
high_crit_words,wake
high_crit_words,wall
high_crit_words,warm
high_crit_words,Wendy
high_crit_words,wheel
high_crit_words,wheels
high_crit_words,whistle
high_crit_words,whoo
high_crit_words,whoops
high_crit_words,whose
high_crit_words,wipe
high_crit_words,working
high_crit_words,would
high_crit_words,write
high_crit_words,writing
high_crit_words,wrong
high_crit_words,www
high_crit_words,ya
high_crit_words,yet
high_crit_words,yoghurt
high_crit_words,zoom
low_crit_words,alligator
low_crit_words,alphabet
low_crit_words,always
low_crit_words,ay
low_crit_words,backpack
low_crit_words,bad
low_crit_words,bagel
low_crit_words,bah
low_crit_words,balls
