type,word,tag
high_crit_words,tiny,adj
high_crit_words,asleep,adj
high_crit_words,bare,adj
high_crit_words,bouncy,adj
high_crit_words,cheeky,adj
high_crit_words,closed,adj
high_crit_words,cool,adj
high_crit_words,cute,adj
high_crit_words,dead,adj
high_crit_words,dear,adj
high_crit_words,fair,adj
high_crit_words,fast,adj
high_crit_words,hungry,adj
high_crit_words,jigsaw,adj
high_crit_words,long,adj
high_crit_words,lots,adj
high_crit_words,loud,adj
high_crit_words,poor,adj
high_crit_words,sad,adj
high_crit_words,scary,adj
high_crit_words,steady,adj
high_crit_words,straight,adj
high_crit_words,sweet,adj
high_crit_words,very,adj
high_crit_words,warm,adj
high_crit_words,wrong,adj
high_crit_words,yet,adj
low_crit_words,bad,adj
low_crit_words,biggest,adj
low_crit_words,crunchy,adj
low_crit_words,higher,adj
low_crit_words,missing,adj
low_crit_words,polar,adj
low_crit_words,real,adj
low_crit_words,rosie,adj
low_crit_words,same,adj
low_crit_words,tall,adj
low_crit_words,today,adj
low_crit_words,wide,adj
high_crit_words,poorly,adv
low_crit_words,always,adv
low_crit_words,still,adv
low_crit_words,Poppy,name
high_crit_words,let,v
high_crit_words,air,n
high_crit_words,airplane,n
high_crit_words,animals,n
high_crit_words,apples,n
high_crit_words,baby's,n
high_crit_words,bash,n
high_crit_words,basket,n
high_crit_words,beads,n
high_crit_words,bin,n
high_crit_words,biscuit,n
high_crit_words,biscuits,n
high_crit_words,bits,n
high_crit_words,boats,n
high_crit_words,body,n
high_crit_words,bone,n
high_crit_words,boys,n
high_crit_words,brick,n
high_crit_words,building,n
high_crit_words,car's,n
high_crit_words,castle,n
high_crit_words,chimney,n
high_crit_words,chocolate,n
high_crit_words,Christmas,n
high_crit_words,clay,n
high_crit_words,colors,n
high_crit_words,cone,n
high_crit_words,corner,n
high_crit_words,couch,n
high_crit_words,crab,n
high_crit_words,crisps,n
high_crit_words,crocodile,n
high_crit_words,cushion,n
high_crit_words,diamond,n
high_crit_words,doctor,n
high_crit_words,dolly,n
high_crit_words,dolly's,n
high_crit_words,dolphin,n
high_crit_words,dough,n
high_crit_words,downstairs,n
high_crit_words,driver,n
high_crit_words,dumper,n
high_crit_words,ear,n
high_crit_words,ears,n
high_crit_words,excuse,n
high_crit_words,face,n
high_crit_words,fence,n
high_crit_words,field,n
high_crit_words,food,n
high_crit_words,fork,n
high_crit_words,gate,n
high_crit_words,ginger,n
high_crit_words,giraffe,n
high_crit_words,girls,n
high_crit_words,gorilla,n
high_crit_words,Grandad,n
high_crit_words,Granddad,n
high_crit_words,Grandpa's,n
high_crit_words,Granny,n
high_crit_words,grape,n
high_crit_words,gun,n
high_crit_words,helicopter,n
high_crit_words,hen,n
high_crit_words,high+chair,n
high_crit_words,hill,n
high_crit_words,hippo,n
high_crit_words,holiday,n
high_crit_words,honey,n
high_crit_words,jacket,n
high_crit_words,jumper,n
high_crit_words,king,n
high_crit_words,kite,n
