collection_name,corpus_id,target_child_name,target_child_id,tbin,gloss
Eng-NA,32,Andrew,2585,low,a
Eng-NA,32,Andrew,2585,low,no
Eng-NA,32,Andrew,2585,low,Mama
Eng-NA,32,Andrew,2585,low,door
Eng-NA,32,Andrew,2585,low,bahbah
Eng-NA,32,Andrew,2585,low,puppy
Eng-NA,32,Andrew,2585,low,car
Eng-NA,32,Andrew,2585,low,ball
Eng-NA,32,Andrew,2585,low,sit
Eng-NA,32,Andrew,2585,low,it
Eng-NA,32,Andrew,2585,high,why
Eng-NA,32,Andrew,2585,high,what
Eng-NA,32,Andrew,2585,high,is
Eng-NA,32,Andrew,2585,high,it
Eng-NA,32,Andrew,2585,high,um
Eng-NA,32,Andrew,2585,high,a
Eng-NA,32,Andrew,2585,high,I
Eng-NA,32,Andrew,2585,high,want
Eng-NA,32,Andrew,2585,high,to
Eng-NA,32,Andrew,2585,high,you
Eng-NA,32,Andrew,2585,high,me
Eng-NA,32,Andrew,2585,high,he
Eng-NA,32,Andrew,2585,high,yeah
Eng-NA,32,Andrew,2585,high,and
Eng-NA,32,Andrew,2585,high,they
Eng-NA,32,Andrew,2585,high,the
Eng-NA,32,Andrew,2585,high,back
Eng-NA,32,Andrew,2585,high,in
Eng-NA,32,Andrew,2585,high,one
Eng-NA,32,Andrew,2585,high,that
Eng-NA,32,Andrew,2585,high,this
Eng-NA,32,Andrew,2585,high,here
Eng-NA,32,Andrew,2585,high,where
Eng-NA,32,Andrew,2585,high,go
Eng-NA,32,Andrew,2585,high,yep
Eng-NA,32,Andrew,2585,high,huh
Eng-NA,32,Andrew,2585,high,her
Eng-NA,32,Andrew,2585,high,no
Eng-NA,32,Andrew,2585,high,my
Eng-NA,32,Andrew,2585,high,don't
Eng-NA,32,Andrew,2585,high,know
Eng-NA,32,Andrew,2585,high,wanna
Eng-NA,32,Andrew,2585,high,hi
Eng-NA,32,Andrew,2585,high,I'm
Eng-NA,32,Christina,2591,low,camera
Eng-NA,32,Christina,2591,low,a
Eng-NA,32,Christina,2591,low,cat
Eng-NA,32,Christina,2591,low,no
Eng-NA,32,Christina,2591,low,chair
Eng-NA,32,Christina,2591,low,duck
Eng-NA,32,Christina,2591,low,light
Eng-NA,32,Christina,2591,low,Mommy
Eng-NA,32,Christina,2591,low,touch
Eng-NA,32,Christina,2591,low,ball
Eng-NA,32,Christina,2591,low,pen
Eng-NA,32,Christina,2591,low,pop
Eng-NA,32,Christina,2591,low,baby
Eng-NA,32,Christina,2591,low,cookie
Eng-NA,32,Christina,2591,high,gonna
Eng-NA,32,Christina,2591,high,in
Eng-NA,32,Christina,2591,high,what
Eng-NA,32,Christina,2591,high,it
Eng-NA,32,Christina,2591,high,a
Eng-NA,32,Christina,2591,high,I'm
Eng-NA,32,Christina,2591,high,to
Eng-NA,32,Christina,2591,high,Mommy
Eng-NA,32,Christina,2591,high,I
Eng-NA,32,Christina,2591,high,I'll
Eng-NA,32,Christina,2591,high,one
Eng-NA,32,Christina,2591,high,yeah
Eng-NA,32,Christina,2591,high,here
Eng-NA,32,Christina,2591,high,this
Eng-NA,32,Christina,2591,high,can
Eng-NA,32,Christina,2591,high,is
Eng-NA,32,Christina,2591,high,there
Eng-NA,32,Christina,2591,high,that
Eng-NA,32,Christina,2591,high,right
Eng-NA,32,Christina,2591,high,let's
Eng-NA,32,Christina,2591,high,the
Eng-NA,32,Christina,2591,high,you
Eng-NA,32,Christina,2591,high,name
Eng-NA,32,Christina,2591,high,and
Eng-NA,32,Lindsay,2597,low,yeah
Eng-NA,32,Lindsay,2597,low,no
Eng-NA,32,Lindsay,2597,low,ball
Eng-NA,32,Lindsay,2597,high,what
Eng-NA,32,Lindsay,2597,high,this
Eng-NA,32,Lindsay,2597,high,a
Eng-NA,32,Lindsay,2597,high,the
Eng-NA,32,Lindsay,2597,high,bed
Eng-NA,32,Lindsay,2597,high,yeah
Eng-NA,32,Lindsay,2597,high,house
Eng-NA,32,Lindsay,2597,high,you
Eng-NA,32,Lindsay,2597,high,bite
Eng-NA,32,Lindsay,2597,high,no
Eng-NA,32,Lindsay,2597,high,for
Eng-NA,32,Lindsay,2597,high,I
Eng-NA,32,Lindsay,2597,high,paper
Eng-NA,32,Lindsay,2597,high,and
Eng-NA,32,Lindsay,2597,high,one
Eng-NA,32,Lindsay,2597,high,now
