tbin,target_child_id,n_transcripts
t1,2521,3
t1,2567,1
t1,2576,1
t1,2585,1
t1,2588,1
t1,2591,1
t1,2600,1
t1,2618,1
t1,2964,5
t1,3012,20
t1,3167,25
t1,3617,11
t1,3633,11
t1,3643,11
t1,3658,21
t1,3670,10
t1,3679,9
t1,3694,1
t1,3841,2
t1,3951,36
t1,4580,2
t1,4585,4
t1,4589,4
t1,4709,1
t1,4711,1
t1,4713,1
t1,4715,1
t1,4717,1
t1,4719,1
t1,4721,1
t1,4723,1
t1,4727,1
t1,4729,1
t1,4731,1
t1,4733,1
t1,4735,1
t1,4737,1
t1,4739,1
t1,4741,1
t1,4744,1
t1,4748,1
t1,4750,1
t1,4753,1
t1,4755,1
t1,4757,1
t1,4759,1
t1,4761,1
t1,4763,1
t1,4846,6
t1,5005,144
t1,5049,6
t1,14768,5
t1,14797,4
t1,14809,2
t1,14830,2
t1,14844,2
t1,14854,2
t1,14871,3
t1,14879,2
t1,14909,2
t1,14917,2
t1,14928,2
t1,14942,2
t1,14954,1
t1,14966,2
t1,14977,2
t1,14994,2
t1,15001,2
t1,15014,2
t1,15030,2
t1,15038,2
t1,15062,1
t1,15068,2
t1,15080,2
t1,15093,2
t1,15109,2
t1,15120,2
t1,15134,1
t1,15156,1
t1,15170,2
t1,15197,3
t1,15206,3
t1,15217,1
t1,15227,2
t1,15392,8
t1,15397,4
t1,15400,2
t1,15404,12
t1,15412,5
t1,15418,3
t1,15423,5
t1,15430,4
t1,15436,4
t1,15449,3
t1,15455,7
t1,15480,15
t1,15513,14
t1,15532,13
t1,15614,2
t1,15657,3
t1,15658,3
t2,2521,1
t2,2567,1
t2,2576,1
t2,2585,1
t2,2588,1
t2,2591,1
t2,2600,1
t2,2618,1
t2,2964,3
t2,3012,11
t2,3167,3
t2,3617,10
t2,3633,9
t2,3643,15
t2,3658,18
t2,3670,9
t2,3679,11
t2,3694,5
t2,3841,3
t2,3951,24
t2,4580,5
t2,4585,5
t2,4589,5
t2,4709,1
t2,4711,1
t2,4713,1
t2,4715,1
t2,4717,1
t2,4719,1
t2,4721,1
t2,4723,1
t2,4727,1
t2,4729,1
t2,4731,1
t2,4733,1
t2,4735,1
t2,4737,1
t2,4739,1
t2,4741,1
t2,4744,1
t2,4748,1
t2,4750,1
t2,4753,1
t2,4755,1
t2,4757,1
t2,4759,1
t2,4761,1
t2,4763,1
t2,4846,16
t2,5005,131
t2,5049,7
t2,14768,106
t2,14797,7
t2,14809,1
t2,14830,1
t2,14844,1
t2,14854,1
t2,14871,2
t2,14879,1
t2,14909,1
t2,14917,1
t2,14928,1
t2,14942,1
t2,14954,1
t2,14966,1
t2,14977,1
t2,14994,2
t2,15001,2
t2,15014,1
t2,15030,1
t2,15038,1
t2,15062,2
t2,15068,1
t2,15080,1
t2,15093,1
t2,15109,1
t2,15120,1
t2,15134,1
t2,15156,1
t2,15170,1
t2,15197,1
t2,15206,1
t2,15217,1
t2,15227,1
t2,15392,14
t2,15397,14
t2,15400,14
t2,15404,13
t2,15412,16
t2,15418,13
t2,15423,15
t2,15430,12
t2,15436,15
t2,15449,14
t2,15455,14
t2,15480,36
t2,15513,38
t2,15532,19
t2,15614,3
t2,15657,4
t2,15658,4
