"","file","words"
"1","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","të"
"2","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","e"
"3","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","dhe"
"4","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","në"
"5","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","i"
"6","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","që"
"7","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","do"
"8","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","me"
"9","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","për"
"10","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","një"
"11","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","nga"
"12","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tij"
"13","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","nuk"
"14","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","u"
"15","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ti"
"16","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","më"
"17","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ai"
"18","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","është"
"19","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","por"
"20","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","sepse"
"21","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","zoti"
"22","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tyre"
"23","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","si"
"24","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","unë"
"25","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ka"
"26","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ata"
"27","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","se"
"28","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ta"
"29","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","duke"
"30","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","mbi"
"31","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","zotit"
"32","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ju"
"33","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tha"
"34","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kështu"
"35","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","së"
"36","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kur"
"37","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","po"
"38","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tërë"
"39","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","edhe"
"40","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","mos"
"41","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","atëherë"
"42","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","pastaj"
"43","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","gjithë"
"44","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kishte"
"45","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ishte"
"46","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","izraelit"
"47","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","atë"
"48","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","janë"
"49","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","perëndia"
"50","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","perëndisë"
"51","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","prej"
"52","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","bijtë"
"53","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kundër"
"54","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","o"
"55","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","thënë"
"56","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tu"
"57","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","këtë"
"58","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kanë"
"59","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","thotë"
"60","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","atyre"
"61","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ishin"
"62","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","bërë"
"63","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","para"
"64","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ja"
"65","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","shumë"
"66","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tim"
"67","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tënd"
"68","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","çdo"
"69","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","kam"
"70","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","gjitha"
"71","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","bir"
"72","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ke"
"73","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","te"
"74","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","mund"
"75","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","as"
"76","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","jetë"
"77","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","vendin"
"78","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ne"
"79","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","pa"
"80","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","a"
"81","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ashtu"
"82","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","tua"
"83","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","mbretit"
"84","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","saj"
"85","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","mbreti"
"86","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","deri"
"87","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","përpara"
"88","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","iu"
"89","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ajo"
"90","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","im"
"91","/Volumes/wilbur_the_great/density_models//bible_albanian_7_biblecom_chap_ac.txt.model","ditë"
