word,n
you,493641
the,355725
a,250875
it,242629
and,186861
to,183512
that,171393
i,164020
what,158408
is,128576
oh,126160
do,121999
in,113143
on,111596
your,94895
that's,92827
we,92738
no,90832
xxx,90603
are,88201
there,84368
this,84341
don't,77938
one,71008
it's,69880
go,68987
he,68683
can,68611
okay,65942
have,65065
of,63178
like,61731
right,58838
yeah,57352
see,56820
here,56004
not,54168
want,53428
put,52897
with,51514
look,50886
for,50594
now,48691
did,47986
up,47785
get,46687
me,45805
what's,45652
well,45445
think,45078
you're,44825
know,44758
they,44276
was,43108
yes,43018
all,41732
going,40941
at,40368
got,40091
just,38389
some,38340
she,37475
come,37454
then,36537
be,35561
good,35395
little,34390
so,34144
them,33175
gonna,32044
out,30617
where,28820
but,28626
because,28056
down,27603
i'm,27379
if,26771
how,26158
say,25340
her,25228
when,24449
very,24327
there's,24147
my,23835
let's,23457
about,22889
back,22075
isn't,21972
big,21798
he's,21180
his,21090
does,21066
doing,19905
has,19825
why,19317
didn't,19198
more,19193
him,19077
would,18930
over,18891
off,18274
or,18066
www,17927
i'll,17758
nice,17728
too,17596
who,17553
two,17514
play,17445
make,17437
hm,17265
can't,17133
eat,16694
take,16606
mhm,16586
wanna,16204
where's,16195
baby,16145
were,16045
thomas,15853
had,15509
those,15484
huh,15113
these,15093
daddy,14998
they're,14843
have_to,14617
you've,14404
said,14403
alright,14351
shall,14337
doesn't,13164
tell,13080
we'll,12855
will,12673
book,12653
other,12635
time,12629
need,12624
mummy,12599
again,12589
please,12536
bit,12429
sit,12283
something,12218
really,12131
let,12079
boy,11975
an,11870
else,11760
who's,11572
she's,11479
from,11363
way,11336
as,11324
mommy,11087
could,10897
another,10884
give,10715
car,10392
we're,10372
remember,10031
done,9688
girl,9660
house,9566
away,9552
today,9529
aren't,9490
any,9166
mm,9101
darling,9093
went,9020
ah,8956
goes,8897
find,8834
better,8787
um,8611
things,8608
fraser,8538
three,8465
read,8351
red,8193
haven't,8182
uh,8112
box,7968
says,7893
water,7885
gone,7875
turn,7767
dear,7710
blue,7706
which,7674
called,7624
should,7620
here's,7470
thank,7445
been,7355
we've,7341
hey,7335
help,7148
into,7146
first,7128
bed,7069
hello,7025
won't,6944
day,6931
try,6926
still,6844
green,6824
honey,6785
much,6705
bear,6626
sure,6561
looks,6540
mean,6533
maybe,6527
might,6453
train,6436
i've,6387
wait,6365
color,6363
ready,6363
watch,6310
home,6309
ball,6246
head,6216
round,6212
through,6211
cat,6153
coming,6108
show,6045
name,6035
around,6016
minute,5987
getting,5972
open,5925
you'll,5872
man,5860
uhhuh,5857
thing,5843
thank_you,5832
room,5807
chair,5719
wasn't,5712
hold,5702
only,5673
ya,5671
careful,5655
school,5654
thought,5635
hair,5617
wow,5560
happened,5543
many,5534
door,5521
next,5511
by,5441
yellow,5436
night,5395
work,5352
funny,5324
morning,5318
pretty,5259
after,5236
four,5229
drink,5225
hear,5209
stop,5175
milk,5138
pardon,5118
looking,5040
before,5030
table,5009
piece,5008
keep,5001
long,4999
juice,4988
playing,4986
silly,4979
hand,4977
people,4972
last,4954
top,4924
us,4920
our,4913
made,4868
use,4848
mouth,4831
kind,4822
mummy's,4812
love,4806
tea,4801
new,4756
eating,4744
chi,4738
floor,4736
their,4733
nose,4728
having,4710
dog,4695
