tbin,target_child_id,n_transcripts
t1,2454,17
t1,2618,2
t1,2949,9
t1,2971,19
t1,3017,9
t1,3019,40
t1,3617,11
t1,3633,10
t1,3643,19
t1,3658,15
t1,3670,9
t1,3679,8
t1,3907,16
t1,3951,9
t1,4563,9
t1,4846,10
t1,4872,9
t1,4880,6
t1,4898,8
t1,4909,12
t1,5005,132
t1,5049,5
t1,5099,1
t1,5138,1
t1,5176,1
t1,5192,1
t1,14768,97
t1,14797,4
t1,14809,2
t1,14830,2
t1,14844,2
t1,14854,2
t1,14871,4
t1,14879,2
t1,14909,2
t1,14917,2
t1,14928,2
t1,14942,1
t1,14954,2
t1,14966,2
t1,14977,2
t1,14994,1
t1,15001,1
t1,15014,2
t1,15030,2
t1,15038,2
t1,15062,2
t1,15068,2
t1,15080,2
t1,15093,1
t1,15109,2
t1,15120,2
t1,15134,3
t1,15156,2
t1,15170,2
t1,15197,2
t1,15206,1
t1,15217,2
t1,15227,2
t1,15397,13
t1,15400,14
t1,15412,13
t1,15418,15
t1,15430,14
t1,15436,14
t1,15443,13
t1,15449,13
t1,15480,26
t1,15513,27
t1,15532,99
t1,15591,3
t1,15614,2
t1,15631,3
t1,15642,5
t1,15657,3
t1,15658,4
t2,2454,11
t2,2618,1
t2,2949,11
t2,2971,17
t2,3017,8
t2,3019,37
t2,3617,9
t2,3633,2
t2,3643,10
t2,3658,7
t2,3670,4
t2,3679,8
t2,3907,15
t2,3951,9
t2,4563,5
t2,4846,19
t2,4872,3
t2,4880,6
t2,4898,6
t2,4909,5
t2,5005,108
t2,5049,2
t2,5099,1
t2,5138,1
t2,5176,1
t2,5192,1
t2,14768,75
t2,14797,3
t2,14809,2
t2,14830,2
t2,14844,2
t2,14854,2
t2,14871,3
t2,14879,2
t2,14909,2
t2,14917,2
t2,14928,2
t2,14942,1
t2,14954,2
t2,14966,1
t2,14977,2
t2,14994,2
t2,15001,2
t2,15014,2
t2,15030,2
t2,15038,2
t2,15062,1
t2,15068,2
t2,15080,2
t2,15093,2
t2,15109,1
t2,15120,2
t2,15134,2
t2,15156,2
t2,15170,2
t2,15197,2
t2,15206,2
t2,15217,2
t2,15227,1
t2,15397,2
t2,15400,4
t2,15412,1
t2,15418,3
t2,15430,2
t2,15436,1
t2,15443,6
t2,15449,3
t2,15480,31
t2,15513,30
t2,15532,137
t2,15591,3
t2,15614,1
t2,15631,3
t2,15642,2
t2,15657,3
t2,15658,3
