word,kid_freq_t1,kid_freq_t2,kid_prop_said_t1,kid_prop_said_t2,adult_freq,centrality,semantic_density,pos
a,9077,27723,0.7326732673267327,0.9306930693069307,250871,0.17750624626447095,167.31566706694753,Definite Article
a_and_p,3,1,0.009900990099009901,0.009900990099009901,14,NA,NA,NA
a_b_c,1,0,0.009900990099009901,0,7,NA,NA,NA
a_c_moore,1,0,0.009900990099009901,0,2,NA,NA,NA
a_doodle_doo,0,1,0,0.009900990099009901,0,NA,NA,NA
a_little_lady_was_sitting_in_the_apple_tree,0,1,0,0.009900990099009901,0,NA,NA,NA
a_lot,0,1,0,0.009900990099009901,144,NA,NA,NA
a_lot_of,0,14,0,0.07920792079207921,1081,NA,NA,NA
a_ring_a_roses,1,0,0.009900990099009901,0,0,NA,NA,NA
aa,5,37,0.019801980198019802,0.019801980198019802,4,0.1169424921984389,118.12821145055446,Noun
aaa,0,1,0,0.009900990099009901,0,0.1317942638498881,305.03155991297126,Noun
aaah,0,2,0,0.019801980198019802,5,NA,NA,NA
aah,59,205,0.0297029702970297,0.0594059405940594,535,0.1360432930335418,270.8416170327535,NA
aahh,2,0,0.019801980198019802,0,2,NA,NA,NA
aamaa,0,1,0,0.009900990099009901,0,NA,NA,NA
aar,0,1,0,0.009900990099009901,0,0.12696610322634297,195.04618444231016,Noun
aay,1,1,0.009900990099009901,0.009900990099009901,0,NA,NA,NA
ab,4,0,0.019801980198019802,0,8,0.11332306647890943,57.14242123805576,Noun
ab_ab,1,0,0.009900990099009901,0,0,NA,NA,NA
aba,1,1,0.009900990099009901,0.009900990099009901,11,0.1257289431534042,181.30394921363595,Noun
abbbb,0,1,0,0.009900990099009901,0,NA,NA,NA
abbie,2,0,0.009900990099009901,0,28,0.18545554670243394,3192.932333827647,Noun
abby,2,0,0.009900990099009901,0,132,0.17856409483446636,2289.288863199182,Noun
abbybabby,3,2,0.009900990099009901,0.009900990099009901,3,NA,NA,NA
abc,6,3,0.0297029702970297,0.0297029702970297,74,0.1550682024033381,603.3839933772113,Noun
abc's,0,1,0,0.009900990099009901,34,NA,NA,NA
abcdef,1,0,0.009900990099009901,0,0,NA,NA,NA
abcdefg,1,0,0.009900990099009901,0,6,NA,NA,NA
abcs,8,15,0.019801980198019802,0.0297029702970297,94,0.14016473767767493,87.83628878445194,NA
abi,32,1,0.009900990099009901,0.009900990099009901,140,0.14523204092174002,676.0720766993381,NA
able,1,3,0.009900990099009901,0.0297029702970297,1577,0.1591433892593447,1015.8750338325203,Adjective
abner,0,1,0,0.009900990099009901,6,0.163748737883798,1432.6875129929097,Noun
aboard,1,5,0.009900990099009901,0.009900990099009901,56,0.15889527639675644,1054.4766481531278,Adverb
abominable,0,1,0,0.009900990099009901,3,0.16273731451831044,1458.3013956368272,Adjective
aboom,3,0,0.009900990099009901,0,5,NA,NA,NA
about,88,217,0.1485148514851485,0.31683168316831684,22889,0.15634653049536992,612.9820625847824,Preposition
above,5,20,0.0297029702970297,0.04950495049504951,447,0.15717354968758515,715.316748199375,Preposition
abra_ca_dabra_cottage,1,0,0.009900990099009901,0,1,NA,NA,NA
abracada,0,1,0,0.009900990099009901,0,NA,NA,NA
abre,0,4,0,0.009900990099009901,6,NA,NA,NA
abrella,0,1,0,0.009900990099009901,0,NA,NA,NA
absurd,1,0,0.009900990099009901,0,5,0.18915610811310646,3965.726183824954,Adjective
ac,0,1,0,0.009900990099009901,1,0.11665421804949223,119.50484776466803,Noun
ac_aly,0,1,0,0.009900990099009901,0,NA,NA,NA
acare,2,0,0.009900990099009901,0,0,NA,NA,NA
accessorize,3,0,0.009900990099009901,0,5,NA,NA,Verb (transitive)
accessorizing,5,0,0.009900990099009901,0,6,NA,NA,Verb (transitive)
accident,3,14,0.019801980198019802,0.039603960396039604,470,0.1524045510041465,689.701420987293,Noun
accordion,0,1,0,0.009900990099009901,17,0.16491571080457104,866.615164383551,Noun
ach,3,1,0.019801980198019802,0.009900990099009901,98,0.1188134741183416,119.559181668717,NA
ache,10,36,0.019801980198019802,0.06930693069306931,294,0.14388014396499368,481.7927989242793,Verb (intransitive)
achin,0,1,0,0.009900990099009901,0,NA,NA,NA
achoo,18,36,0.06930693069306931,0.0891089108910891,156,NA,NA,NA
ack,7,0,0.009900990099009901,0,3,0.1272263977210601,125.37310548716346,Noun
acorn,15,8,0.019801980198019802,0.019801980198019802,66,0.14334252689005778,275.94019613948615,Noun
acorns,4,1,0.009900990099009901,0.009900990099009901,21,0.1589951620995064,1360.288948366766,NA
acrobat,0,1,0,0.009900990099009901,24,0.14648635313370412,312.43559194263116,Noun
acrobats,0,1,0,0.009900990099009901,7,0.15968607646205385,857.4875342042023,NA
across,1,7,0.009900990099009901,0.04950495049504951,787,0.14370790051273105,394.3822723628773,Preposition
act,0,1,0,0.009900990099009901,129,0.1389242638961942,326.85052139372783,Noun
act_man,0,1,0,0.009900990099009901,0,NA,NA,NA
acted,1,0,0.009900990099009901,0,3,0.13506419504365602,352.5715118146478,NA
action,0,4,0,0.009900990099009901,55,0.1299440984314941,87.24616006772044,Noun
action_man,3,48,0.009900990099009901,0.009900990099009901,92,NA,NA,NA
action_man_four,0,6,0,0.009900990099009901,0,NA,NA,NA
action_man_pillow,0,1,0,0.009900990099009901,1,NA,NA,NA
action_man's,0,3,0,0.009900990099009901,9,NA,NA,NA
actionman,0,2,0,0.009900990099009901,3,NA,NA,NA
actor,0,1,0,0.009900990099009901,18,0.15632910366923986,931.9649134270229,Noun
actually,8,14,0.019801980198019802,0.07920792079207921,3939,0.21432919057443636,3444.356637419798,Adverb
acuse,0,1,0,0.009900990099009901,0,NA,NA,NA
ad,6,2,0.019801980198019802,0.019801980198019802,12,0.1272763446664912,253.87300435557074,Noun
ada,7,32,0.0297029702970297,0.019801980198019802,41,0.12762762707242564,119.2233952035555,Noun
adam,0,7,0,0.0297029702970297,1093,0.15304027133989911,803.3015189047883,NA
adam's,0,1,0,0.009900990099009901,84,NA,NA,NA
aday,2,1,0.009900990099009901,0.009900990099009901,0,NA,NA,Noun
add,0,2,0,0.009900990099009901,216,0.15347822244055756,1122.8515820727746,Verb (usu participle)
added,0,1,0,0.009900990099009901,52,0.12333627774589999,133.19245435937302,NA
adding,0,6,0,0.009900990099009901,30,0.14849843879634964,667.8974105415674,NA
address,1,1,0.009900990099009901,0.009900990099009901,154,0.13493817121590782,426.53171105974735,Noun
addy,1,0,0.009900990099009901,0,1,0.15053883637702803,570.6430162816021,Noun
ade,0,2,0,0.009900990099009901,0,0.1313498427496428,124.60940353059225,Noun
adele,0,2,0,0.009900990099009901,8,0.16669057463190584,1656.849317396418,Noun
adi,2,0,0.009900990099009901,0,4,0.1360675529204586,953.5309139027663,Noun
adiadi,3,4,0.009900990099009901,0.009900990099009901,9,NA,NA,NA
adidadi,1,0,0.009900990099009901,0,0,NA,NA,NA
adior,0,3,0,0.009900990099009901,5,NA,NA,NA
adios,0,3,0,0.009900990099009901,18,0.15532758756905682,1039.2411701829737,Interjection
adips,0,1,0,0.009900990099009901,0,NA,NA,NA
adjective,1,0,0.009900990099009901,0,3,0.13053283671034985,598.6927720590478,NA
adjectives,1,0,0.009900990099009901,0,3,0.15120986339740117,1134.8916121408754,NA
ado,1,1,0.009900990099009901,0.009900990099009901,1,0.12728521016289207,75.26419001626581,Noun
adoid,2,0,0.009900990099009901,0,2,NA,NA,NA
adonalds,1,0,0.009900990099009901,0,0,NA,NA,NA
adoreo,0,2,0,0.009900990099009901,1,NA,NA,NA
adventure,0,1,0,0.009900990099009901,61,0.15891592750122036,1050.3041219176207,Noun
ady,0,2,0,0.009900990099009901,1,0.13238402835977117,131.51182321733208,NA
ae,0,1,0,0.009900990099009901,13,0.11935973034316809,264.9976004156349,Adjective
aent,0,1,0,0.009900990099009901,0,NA,NA,NA
aerial,1,0,0.009900990099009901,0,38,0.1377556399879702,371.79271066301453,Adjective
aero,0,1,0,0.009900990099009901,4,0.13753299406755076,511.0705295606941,Noun
aeroplane,29,67,0.06930693069306931,0.09900990099009901,520,0.15972755688551327,787.5484543019235,Noun
aet,0,1,0,0.009900990099009901,0,0.1329367009901381,185.59281457317832,Noun
af_da,0,2,0,0.009900990099009901,0,NA,NA,NA
afer,0,2,0,0.009900990099009901,0,0.1286792018534253,435.29335893519993,NA
aff,0,1,0,0.009900990099009901,0,0.12626496482767877,159.67936931166815,Preposition
affected,0,5,0,0.009900990099009901,9,0.14471332761265762,1085.964932427485,Adjective
afford,0,1,0,0.009900990099009901,34,0.1508534112946674,774.9627482714861,Verb (usu participle)
afraid,3,13,0.009900990099009901,0.039603960396039604,644,0.19025967362732282,3050.008912657832,Adjective
africa,0,1,0,0.009900990099009901,71,0.15491302141991442,632.9321636976101,Noun
after,44,78,0.09900990099009901,0.18811881188118812,5233,0.1698294563358732,636.1561758081484,Preposition
afternoon,6,6,0.0297029702970297,0.039603960396039604,920,0.16075177333651053,612.7736328066658,Noun
afterward,1,0,0.009900990099009901,0,17,0.19115698611307622,1801.0789554766632,Adverb
afwayo,2,0,0.009900990099009901,0,0,NA,NA,NA
afwww,0,5,0,0.009900990099009901,24,NA,NA,NA
again,602,1443,0.33663366336633666,0.48514851485148514,12589,0.18849794725185137,1117.2590143696634,Adverb
against,1,1,0.009900990099009901,0.009900990099009901,321,0.13248393616181908,597.4393889107585,Preposition
age,1,2,0.009900990099009901,0.019801980198019802,251,0.13536812474766236,84.73644557019475,Noun
ages,0,1,0,0.009900990099009901,164,0.1502649416634169,347.552571401695,NA
agether,14,4,0.009900990099009901,0.009900990099009901,0,NA,NA,NA
agg,0,16,0,0.009900990099009901,2,0.1436434512831119,636.6072531933222,NA
aggs,0,4,0,0.009900990099009901,0,NA,NA,NA
agh,7,10,0.0297029702970297,0.019801980198019802,10,NA,NA,Noun
aghetti,0,3,0,0.009900990099009901,0,NA,NA,NA
ago,6,8,0.039603960396039604,0.0594059405940594,1018,0.16034332980593605,674.3366654463188,Adverb
agra,5,29,0.009900990099009901,0.009900990099009901,21,0.1532620596457381,1510.0517275778893,Noun
agra's,0,2,0,0.009900990099009901,4,NA,NA,NA
agree,1,1,0.009900990099009901,0.009900990099009901,81,0.17254587855044556,2386.085560135777,Verb (usu participle)
ah,791,1395,0.693069306930693,0.693069306930693,8956,0.13211381932919486,356.44611622301676,Interjection
ah_ah,0,1,0,0.009900990099009901,1,NA,NA,NA
ah_boo,1,0,0.009900990099009901,0,3,NA,NA,NA
ah_phss,0,1,0,0.009900990099009901,0,NA,NA,NA
ah_phsss,0,6,0,0.009900990099009901,0,NA,NA,NA
aha,0,2,0,0.009900990099009901,60,0.12421244939200755,102.23456091377632,Interjection
ahah,1,0,0.009900990099009901,0,4,NA,NA,NA
ahahah,1,0,0.009900990099009901,0,14,NA,NA,NA
ahchoo,0,4,0,0.009900990099009901,2,NA,NA,Interjection
ahead,2,3,0.009900990099009901,0.0297029702970297,1836,0.15113702876980867,396.384009998777,Adverb
ahem,12,11,0.04950495049504951,0.0297029702970297,26,0.172958923621162,2637.5631823447575,Interjection
ahhah,38,73,0.0891089108910891,0.10891089108910891,1050,NA,NA,NA
ahhbee,0,1,0,0.009900990099009901,0,NA,NA,NA
ahind,0,1,0,0.009900990099009901,0,NA,NA,NA
ahking,4,0,0.009900990099009901,0,0,NA,NA,NA
ahm,2,0,0.019801980198019802,0,1,NA,NA,NA
ahoh,1,0,0.009900990099009901,0,2,NA,NA,NA
ahphss,0,39,0,0.009900990099009901,8,NA,NA,NA
ahphssh,0,5,0,0.009900990099009901,0,NA,NA,NA
ahphsss,0,58,0,0.009900990099009901,3,NA,NA,NA
ahpsh,0,2,0,0.009900990099009901,1,NA,NA,NA
ahshhh,1,0,0.009900990099009901,0,1,NA,NA,NA
aht,2,0,0.019801980198019802,0,0,NA,NA,NA
