word,Estimate,SE,t,n_know
catch,0.012420519780066672,0.2324719957253654,0.05342802577709126,2
Mommy,-0.011789260547146291,0.13607414637078183,-0.08663850453283248,10
hee_haw,0.4588237066111242,0.3455453410218478,1.3278248963053279,1
yeah,0.19762673117126858,0.1307168453920397,1.511868884064299,14
a,-0.0771848999535911,0.1261636547612827,-0.6117839571121693,21
again,0.3430051333966811,0.19943074997324384,1.7199209923379397,3
all,0.007149455838262601,0.19817526162047874,0.03607642941808939,7
all_gone,0.3419158796438008,0.19595051287103282,1.7449093377409879,3
and,0.3027861926841352,0.20448787753156242,1.480704853212634,13
animal,0.2818720140686976,0.24658189298804556,1.1431172445511355,2
another,-0.024004985842538493,0.1776302173969484,-0.13514021541106827,5
arm,0.5192468681274783,0.3593260551581554,1.445057659119472,1
at,0.20023304196307817,0.20935967595909327,0.9564069157338668,5
away,0.3207636581453548,0.17069201232309195,1.8791954806778062,5
baa,0.2818720140686976,0.24658189298804556,1.1431172445511355,2
baby,0.2645478452477578,0.1686474335507346,1.568644358695048,13
back,0.2894192951090115,0.15452760211334426,1.8729294388243058,9
bag,0.2516794581794058,0.20335425711637461,1.2376404691413756,3
barking,0.5192468681274783,0.3593260551581554,1.445057659119472,1
baseball,0.5192468681274783,0.3593260551581554,1.445057659119472,1
basement,0.5192468681274783,0.3593260551581554,1.445057659119472,1
be,0.21562818883866183,0.18833952787806216,1.1448907792647083,5
bead,0.5192468681274783,0.3593260551581554,1.445057659119472,1
beads,0.5192468681274783,0.3593260551581554,1.445057659119472,1
because,0.3316608117701528,0.25948771649381464,1.278136846905655,3
Becky,0.5192468681274783,0.3593260551581554,1.445057659119472,1
bed,0.29104378208008685,0.15517661346604836,1.875564723184047,6
behind,0.5192468681274783,0.3593260551581554,1.445057659119472,1
better,0.3663748595578575,0.2575212564160494,1.4226975460462379,2
bicycle,0.5192468681274783,0.3593260551581554,1.445057659119472,1
big,0.4010173866131505,0.20206014916656043,1.9846436235310676,7
bird,0.3316608117701528,0.25948771649381464,1.278136846905655,3
birthday,0.3884256067893277,0.22483988093560858,1.7275654353355936,4
bit,0.17874123682584217,0.1701260377965123,1.0506400968418161,5
