word,Estimate,SE,t,n_know
ball,-0.007246717954507831,0.07894440383082042,-0.09179520780266712,28
down,0.04653243497520129,0.08814424169956435,0.5279123636210404,33
gate,-0.24716543996396814,0.31167033248886616,-0.7930348647245649,1
no,-0.09214740032033596,0.08423358359441604,-1.0939508493907237,62
oh,-0.07578298398920456,0.08321980492890475,-0.9106364050474101,57
sit,0.17323799090968564,0.09637220119280213,1.797592965248411,20
toys,0.11589880237189994,0.09738271154497136,1.1901373512112348,13
uh,-0.06514307477862444,0.06460987114421382,-1.0082526651882724,41
garage,0.040398969407188776,0.21470760274508102,0.1881580758700652,2
go,0.01828514367048503,0.09535212486905298,0.19176440688234275,32
gonna,0.016563190376174854,0.16960509399788076,0.09765738743897523,4
house,0.1816992335406058,0.10999607114176904,1.6518702136771934,18
I,-0.024890127144285012,0.08584294277192589,-0.28994960261806274,37
in,0.13109550342223594,0.09523345250615252,1.3765698919060672,36
okay,0.12621736049931873,0.09925806551708527,1.2716081040043337,15
over,0.11355012426861963,0.11125493156782557,1.0206300311226637,14
put,0.14588219538077088,0.09584277978619844,1.5220989594229009,21
the,0.05454612165047787,0.08906213202709705,0.612450212104537,38
yeah,0.04280943995831725,0.09569559309833561,0.4473501712281233,31
awoh,0.10479657217044264,0.21384612708211176,0.4900559743604956,2
back,0.1601009012724764,0.08723566144418289,1.8352689556313595,26
it,0.13666814917541728,0.0839849294961066,1.6272937299036845,44
that,-0.04565908304735511,0.07595818456454663,-0.6011081400787772,46
a,-0.07127523316451138,0.08722149332178071,-0.8171751073048038,49
and,0.0667900079706145,0.10043549608205524,0.6650040132827885,32
cake,0.1186122397222646,0.10145323388802148,1.1691321722990349,12
cookie,0.05068636964666923,0.13583577203612096,0.3731444882809728,8
do,0.15067595704727968,0.09997483026315977,1.507138913371109,26
door,0.062205042839607795,0.09700769290339468,0.6412382459353488,14
eat,0.12619318775247898,0.10638004940420051,1.1862486289416607,16
got,0.06169250517590625,0.09149278314680222,0.6742882121852086,20
have,0.08904993531101278,0.0971087069360599,0.9170128829914982,17
he,-0.029253793769682856,0.10021256048329905,-0.291917436582794,18
here,0.057767432212223094,0.09936897743590808,0.5813427258973503,31
him,0.07708261547213217,0.11690630667645258,0.6593537822169371,9
his,0.029042876746669218,0.148538202073089,0.19552462828638872,5
I'll,0.07164695389141319,0.21260967083184734,0.3369882170039135,2
make,0.2728650538119254,0.11432033806884564,2.3868461064872064,16
on,0.16520756520602095,0.10382538400351489,1.5912059155054803,34
one,0.06981649640670637,0.10180062961499771,0.6858159588083795,36
see,0.04233327189420876,0.1135414845884125,0.3728440934841281,25
them,0.13663847017104228,0.14538244208871517,0.9398553787372951,5
there,0.057733281863898714,0.08494246351922137,0.6796751527089208,48
this,0.08178187115650462,0.10766663210438135,0.7595841864656656,32
two,0.15247975659211752,0.10575732047815165,1.4417891442665498,25
want,0.09606276323721538,0.08137421754815273,1.180506137344679,36
what,-0.003414467251796632,0.11409471511605286,-0.029926603071172616,24
you,0.0010412236062895233,0.08727889541527521,0.011929843994190748,31
yup,0.2916087924377327,0.30292455482109026,0.962644948376533,1
mm,-0.11507879319366009,0.07788934903414321,-1.4774650786106156,27
people,0.13827391964198976,0.15469120195440422,0.8938706138099987,4
sleep,0.10404235321138565,0.12493088258162088,0.8327993131995353,8
catch,0.004057339103965957,0.13638313655822118,0.029749565865380297,5
Mommy,0.036017274703193325,0.09827703566561453,0.36648719061634416,16
um,0.078203508173495,0.1076697590143512,0.7263275119160555,18
hee_haw,0.5269509777083743,0.29615541784256233,1.7793055468885732,1
but,0.10733883067387151,0.2072947719802604,0.5178077075870144,3
can,0.08890178137009715,0.1274025907848452,0.6978019899158299,12
like,0.2769043714816377,0.10744214371700472,2.5772416847060025,21
right,0.07861449454113568,0.09752333197941734,0.8061096041891551,18
some,0.018544870038314027,0.104479566674447,0.17749757802976823,17
they,0.0758259900802685,0.13511212557712826,0.5612078838696347,6
to,0.0953697127353205,0.09628297246651502,0.9905148365510617,18
too,0.15587948462139609,0.12027931078602172,1.2959791971098629,11
book,0.1616362480962578,0.10474356454014351,1.543161613850843,23
mommy,0.019635570534215243,0.13631268307407426,0.14404800853010127,8
purple,-0.056008526612900365,0.11972974501637751,-0.4677912460703822,8
beep,-0.09624023606121872,0.12437514246767437,-0.7737899563510608,8
box,0.07759858833854416,0.0946456142270793,0.8198857281687145,14
huh,0.07432994382101114,0.11702356895714097,0.6351707137579605,9
my,-0.05869488131252079,0.09114561314856408,-0.6439682534896138,30
why,0.010197094425907183,0.14729354230041236,0.0692297453550931,6
airplane,0.23971459236637943,0.18134560567994665,1.321866010855797,3
apple,0.01588987131738936,0.10930566478362547,0.14537097733080842,15
Appledumpling,0.32988741287644335,0.3332089506377358,0.9900316670517545,1
bear,-0.0017527215886751603,0.10583224820252003,-0.01656131867595935,10
camera,0.33073900311702104,0.1757457680260514,1.8819173106233456,4
cheese,0.20943348772094036,0.13197485170001064,1.5869196670665664,8
cup,0.24305509752896418,0.1090089043802599,2.229681133947607,11
doggie,0.15477013130361417,0.12198949851755057,1.2687168418955952,10
five,0.20720409731028827,0.12713644386185674,1.6297773558573891,7
funny,0.2207401850678853,0.15372614060199685,1.4359313530116553,5
Garfield,0.32988741287644335,0.3332089506377358,0.9900316670517545,1
green,0.04953078647382007,0.09608167217433065,0.5155071238139087,18
hold,0.16309493201038797,0.1342006721657337,1.2153063720051323,7
hum,0.02315517406281862,0.15968745230743908,0.14500309027561542,4
juice,0.02488337197985761,0.10215304916231588,0.24358912615833156,15
picture,0.1357665199855346,0.13749337010220608,0.9874404844729036,6
piggie,0.0785819503836669,0.183287630815327,0.42873569827984087,3
piggies,0.015240837594910904,0.22232809490063843,0.06855110957399356,2
pink,0.1394826600955282,0.11701977243241524,1.1919580528674025,9
please,0.17182068494407618,0.10400902772405414,1.6519785705519028,13
raisins,0.11838634109394273,0.22425942795740078,0.5278990594608617,2
Roy,0.32988741287644335,0.3332089506377358,0.9900316670517545,1
seeds,0.07385555759385323,0.21712759847802107,0.3401481806622078,2
Smurf,0.32988741287644335,0.3332089506377358,0.9900316670517545,1
thank_you,0.2417275096126943,0.13831383732671293,1.7476740887587883,5
at,0.13325941033439712,0.11852044606812476,1.1243579884756805,12
big,0.21048870689576402,0.10310257695062465,2.041546517276344,22
blanket,0.05917502835080279,0.1234303875224978,0.47942025896999546,8
blue,-0.013118877652712255,0.1067426968460419,-0.1229018756349579,22
bubbles,0.0610466609124394,0.1315890937454858,0.46391884900821134,6
buy,0.2440055536381049,0.21837264945536958,1.1173814772438986,2
car,0.21213524917131557,0.09079748072488711,2.3363561133824544,29
cold,0.14486329755521837,0.13092067094225024,1.1064967549633036,7
did,0.03108007130401289,0.14014616093136517,0.22176898102284776,10
don't,0.02534127115514512,0.09289504584944812,0.272794646080641,20
eyes,0.04400291190770784,0.11887796006031572,0.3701519767447377,9
feel,0.15046563908518418,0.18492473659121442,0.8136587990269586,3
good,0.1352982332279675,0.11362678941552126,1.190724774711323,13
has,0.051654149787402535,0.1413137024048927,0.365528246081918,5
heart,-0.052638034694168674,0.29775210911821853,-0.176784758469232,1
hi,-0.007918553469010044,0.11244747533384741,-0.07042002006270486,14
is,-0.008452274790499715,0.10912132267125917,-0.07745759108843639,27
look,0.09188908550800545,0.08323052544693066,1.104031063297752,32
me,-0.04955868475497885,0.08363249048721669,-0.5925769335131057,26
move,0.13331620193501675,0.15719527851237458,0.8480929147278553,4
must,-0.1269391638607882,0.30346092926529167,-0.41830480176845247,1
nose,0.046598862421413506,0.12312632910393688,0.378463832719947,7
orange,0.13913947088828635,0.0967900672471039,1.4375387355922062,15
other,0.08938415410685713,0.10979327919222105,0.8141131658010454,9
owie,0.22279996689890363,0.33604874951997415,0.6629989464836881,1
page,-0.026976946747125283,0.15625463935164832,-0.17264733296279375,4
Peter,0.19730288626228343,0.295299836005348,0.6681442459680547,1
pig,-0.004275756805339101,0.12411633684765447,-0.0344495891027411,7
plate,0.19582562931390773,0.17588013559658316,1.113403902320576,3
read,0.19282611905680416,0.12027824739278968,1.6031670167848115,17
shadow,0.06705471557321283,0.22146632281729872,0.30277612740484433,2
stop,0.04495635071216843,0.11355196969977673,0.39590991535443903,9
that's,0.07413996646760006,0.09738909932640732,0.7612758201933263,21
there's,0.030073842632748496,0.11082077613872472,0.2713736871424024,13
Tom,0.06970321401769962,0.298993740603623,0.2331259974773365,1
turn,0.19775330477658953,0.11201564622797866,1.7654078821641952,11
uhhuh,0.13898739247540354,0.1607519307497832,0.8646079199617389,4
uhhum,-0.17664862223429956,0.2946911612681872,-0.5994364455116399,1
up,0.10076147990304346,0.09692046445755982,1.0396305926408924,37
what's,-0.06582801014106628,0.08746401919434221,-0.7526296041209651,25
where,-0.007955323391381818,0.10621526752778723,-0.07489811565272955,22
where's,0.021484851440221563,0.10040341820573011,0.2139852589101932,15
who's,-0.12221533716226397,0.15552296810637503,-0.785834649700556,4
yeh,-0.034657745983221334,0.15340041608771154,-0.22592993465809552,4
again,0.1278621357715386,0.09630501918284862,1.3276788360196925,16
all,0.09285399076078528,0.10437102686871115,0.8896529386223898,22
all_gone,0.14771944089715294,0.09597286191130906,1.5391792841778982,12
animal,0.17328005702478497,0.21413456912143017,0.8092110383472102,2
another,-0.0016595466104383642,0.09414664455312909,-0.017627251808234594,16
arm,0.2916087924377327,0.30292455482109026,0.962644948376533,1
away,0.166694577906598,0.11192855327055502,1.4892944922075593,12
baa,0.10132760671226797,0.17647654388095296,0.5741703938888403,3
baby,0.09405591563921717,0.09829830138453696,0.9568417186709683,26
bag,0.14502840509480167,0.10851378196979909,1.3364975624493955,10
barking,0.15024244129675618,0.21838845545704508,0.6879596313016071,2
baseball,0.2916087924377327,0.30292455482109026,0.962644948376533,1
basement,0.2916087924377327,0.30292455482109026,0.962644948376533,1
be,0.16563919687968037,0.13038158691030552,1.2704186289251864,10
bead,0.2916087924377327,0.30292455482109026,0.962644948376533,1
beads,0.2916087924377327,0.30292455482109026,0.962644948376533,1
because,0.17872649104729135,0.1585393850959298,1.1273318042652092,5
Becky,0.2916087924377327,0.30292455482109026,0.962644948376533,1
bed,0.2335592975377926,0.11316235860178778,2.0639309786717606,11
behind,0.2916087924377327,0.30292455482109026,0.962644948376533,1
better,0.1060696971751302,0.12733644576297048,0.8329877321420835,7
bicycle,0.2916087924377327,0.30292455482109026,0.962644948376533,1
bird,0.1917718361324979,0.12453035352328434,1.5399605855663208,9
birthday,0.15441588110619597,0.12146884551811113,1.27123856695561,10
bit,0.1105572331388952,0.12418880039760867,0.8902351321933217,7
blow,0.36516937846246145,0.24209466942173274,1.5083743038816382,2
boat,0.1103578566679046,0.1079348471949137,1.0224488155212312,10
bobbing,0.2916087924377327,0.30292455482109026,0.962644948376533,1
books,0.04967188104407508,0.1414871350071385,0.3510699473953513,5
boom,0.11611319745078355,0.15027276421658495,0.7726829146726286,5
boot,0.11949756074901369,0.2159853267900989,0.5532670321866126,2
bottle,0.21978845331714775,0.13922474728588036,1.5786593806188782,6
bouillon,0.2916087924377327,0.30292455482109026,0.962644948376533,1
boy,0.1378518096731831,0.09649452652560057,1.4285971923662448,14
briefcase,0.2916087924377327,0.30292455482109026,0.962644948376533,1
bring,0.17259809752934083,0.18424641722727836,0.9367785823288565,3
broke,0.03518490293877426,0.09774718313386158,0.3599582290835909,11
brown,0.13620136857332468,0.17322219205169853,0.7862812897130126,3
building,0.2916087924377327,0.30292455482109026,0.962644948376533,1
by,0.023640734247264324,0.2143243049539906,0.11030356194244663,2
