word,target_child_id,tbin,n
a,2521,t1,1
a,2521,t2,3
ah,2521,t2,4
apple,2521,t1,2
around,2521,t2,1
at,2521,t2,3
away,2521,t1,3
awoh,2521,t1,1
baby's,2521,t1,1
back,2521,t2,4
ball,2521,t1,7
bed,2521,t2,2
big,2521,t1,2
book,2521,t1,2
boom_boom_boom,2521,t1,1
box,2521,t1,3
box,2521,t2,4
broke,2521,t1,2
bucket,2521,t1,1
byebye,2521,t1,1
can,2521,t2,3
can't,2521,t2,1
cat,2521,t1,1
catch,2521,t1,1
chair,2521,t1,1
claus,2521,t1,3
color,2521,t1,1
color,2521,t2,1
cover,2521,t2,2
crayon,2521,t1,1
cream,2521,t1,2
daddy,2521,t1,1
don't,2521,t1,1
don't,2521,t2,1
done,2521,t1,1
door,2521,t2,2
down,2521,t1,8
dukie's,2521,t1,1
fell,2521,t2,2
fish,2521,t1,1
garage,2521,t2,5
gate,2521,t1,8
get,2521,t1,1
git,2521,t1,2
go,2521,t2,9
gonna,2521,t2,8
got,2521,t2,4
gotta,2521,t2,2
he,2521,t2,3
hm,2521,t1,2
hold,2521,t1,1
horse,2521,t1,1
horsie,2521,t1,1
house,2521,t2,11
hug,2521,t1,1
i,2521,t1,2
i,2521,t2,15
in,2521,t1,1
in,2521,t2,6
is,2521,t1,1
it,2521,t1,1
it,2521,t2,3
jack,2521,t1,1
kitty,2521,t1,2
know,2521,t1,1
let's,2521,t2,3
like,2521,t2,2
look,2521,t1,1
look,2521,t2,4
looking,2521,t1,1
machine,2521,t1,2
make,2521,t2,1
mhm,2521,t1,2
mommy,2521,t1,4
nice,2521,t2,1
no,2521,t1,23
no,2521,t2,3
now,2521,t2,3
off,2521,t2,2
oh,2521,t1,7
oh,2521,t2,12
okay,2521,t2,12
on,2521,t2,3
one,2521,t2,1
oops,2521,t1,1
open,2521,t2,3
out,2521,t2,4
over,2521,t2,5
ow,2521,t1,1
paper,2521,t1,1
paper,2521,t2,1
peekaboo,2521,t1,1
peeky,2521,t1,3
people,2521,t2,4
please,2521,t1,2
pop,2521,t1,1
pull,2521,t2,2
put,2521,t2,16
quack,2521,t1,1
ready,2521,t1,1
side,2521,t2,2
sit,2521,t1,11
table,2521,t2,1
that,2521,t1,2
that,2521,t2,2
the,2521,t1,1
the,2521,t2,5
them,2521,t2,1
there,2521,t2,4
there's,2521,t2,2
they,2521,t2,1
this,2521,t2,4
to,2521,t2,2
too,2521,t1,1
touch,2521,t1,1
toys,2521,t1,5
truck,2521,t1,1
tv,2521,t1,1
ugh,2521,t1,2
uh,2521,t1,6
uhuh,2521,t1,1
up,2521,t2,1
want,2521,t2,1
we,2521,t2,1
went,2521,t2,1
wents,2521,t2,1
what,2521,t1,1
what,2521,t2,4
what's,2521,t2,1
where,2521,t2,2
who,2521,t1,3
whoa,2521,t2,1
window,2521,t1,1
wires,2521,t1,1
woof,2521,t1,1
wow,2521,t2,1
www,2521,t2,5
yeah,2521,t1,1
yeah,2521,t2,9
a,2567,t2,61
again,2567,t2,3
ah,2567,t2,2
all,2567,t2,3
and,2567,t2,22
another,2567,t2,1
at,2567,t2,1
away,2567,t2,2
awoh,2567,t1,6
back,2567,t1,17
ball,2567,t1,14
be,2567,t2,2
bed,2567,t2,3
bench,2567,t2,2
better,2567,t2,1
big,2567,t2,3
bike,2567,t2,1
bird,2567,t1,1
birdie,2567,t2,1
birthday,2567,t2,1
blue,2567,t2,2
book,2567,t2,1
bookie,2567,t1,1
books,2567,t2,1
box,2567,t2,4
boy,2567,t2,4
boys,2567,t2,1
brushing,2567,t2,1
bunny,2567,t2,1
butterfly,2567,t2,1
byebye,2567,t2,1
cake,2567,t2,5
can,2567,t2,3
candles,2567,t2,2
car,2567,t2,1
cars,2567,t2,1
chair,2567,t2,1
chairs,2567,t2,1
come,2567,t2,4
cookie,2567,t2,7
cookie_mon,2567,t2,1
cookie_monster,2567,t2,3
cookies,2567,t2,3
could,2567,t2,1
crayons,2567,t2,2
d,2567,t2,1
ding,2567,t2,3
dinner,2567,t2,2
dirty,2567,t2,1
do,2567,t2,5
dog,2567,t2,1
doggie,2567,t2,1
doing,2567,t2,1
don't,2567,t2,3
dong,2567,t2,2
door,2567,t2,5
down,2567,t2,1
draw,2567,t2,2
duck,2567,t1,4
duck,2567,t2,1
duckie,2567,t1,2
eat,2567,t2,5
eating,2567,t2,1
egg,2567,t2,2
eight,2567,t2,1
feel,2567,t2,1
five,2567,t2,2
flower,2567,t2,1
flowers,2567,t2,2
food,2567,t2,1
for,2567,t2,1
four,2567,t2,3
frangio,2567,t2,2
frannie,2567,t2,2
full,2567,t2,1
garage,2567,t2,2
get,2567,t1,1
get,2567,t2,4
gimme,2567,t1,1
give,2567,t1,1
go,2567,t1,1
go,2567,t2,13
going,2567,t2,2
gonna,2567,t2,6
good,2567,t2,4
good_night,2567,t2,4
goodbye,2567,t2,1
got,2567,t2,6
had,2567,t2,2
hair,2567,t1,1
have,2567,t2,6
he,2567,t2,13
he's,2567,t2,1
heavy,2567,t2,2
here,2567,t2,5
here's,2567,t2,1
hey,2567,t1,1
hey,2567,t2,2
high,2567,t2,1
him,2567,t2,5
him's,2567,t2,1
his,2567,t2,7
hit,2567,t2,1
hockey,2567,t2,3
homes,2567,t2,1
hook,2567,t1,1
horsie,2567,t1,2
house,2567,t2,1
huh,2567,t1,1
huh,2567,t2,1
hurt,2567,t2,2
i,2567,t2,28
i'll,2567,t2,7
i'm,2567,t2,3
in,2567,t2,20
is,2567,t2,4
it,2567,t1,10
it,2567,t2,10
it's,2567,t2,1
jacket,2567,t2,1
jiminy_cricket,2567,t2,4
juice,2567,t2,1
kissed,2567,t2,1
know,2567,t2,1
let's,2567,t2,3
like,2567,t2,2
look,2567,t2,4
lookyed,2567,t2,1
m,2567,t2,1
ma,2567,t2,1
make,2567,t2,9
marks,2567,t2,1
me,2567,t1,2
me,2567,t2,3
mean,2567,t2,1
mm,2567,t1,1
mm,2567,t2,1
mom,2567,t2,3
moon,2567,t2,3
mouth,2567,t1,3
mouth,2567,t2,1
my,2567,t2,2
night,2567,t2,1
nine,2567,t2,1
no,2567,t1,10
no,2567,t2,4
nose,2567,t2,2
now,2567,t2,2
of,2567,t2,1
oh,2567,t1,9
oh,2567,t2,14
okay,2567,t2,28
on,2567,t2,10
one,2567,t2,21
oops,2567,t2,2
open,2567,t2,2
opens,2567,t2,2
orange,2567,t2,1
other,2567,t2,2
out,2567,t2,2
ow,2567,t2,3
owl,2567,t1,2
page,2567,t2,1
peas,2567,t2,2
people,2567,t2,1
picture,2567,t2,1
play,2567,t1,1
pu,2567,t2,1
puck,2567,t2,2
pup,2567,t2,1
puppet,2567,t2,3
puppets,2567,t2,5
puppy,2567,t2,1
put,2567,t1,11
put,2567,t2,8
puts,2567,t2,1
putting,2567,t2,1
raccoon,2567,t2,1
read,2567,t2,2
red,2567,t2,1
refrigerator,2567,t2,1
ride,2567,t1,2
roof,2567,t2,1
sandbox,2567,t2,1
say,2567,t2,1
see,2567,t1,3
see,2567,t2,7
seven,2567,t2,1
shelf,2567,t2,1
shoes,2567,t2,1
shoot,2567,t2,1
side,2567,t2,1
sit,2567,t2,1
six,2567,t2,2
some,2567,t2,2
something,2567,t2,1
ster,2567,t2,1
stick,2567,t2,3
sweater,2567,t2,1
table,2567,t2,1
teeth,2567,t2,1
ten,2567,t2,1
thank_you,2567,t2,1
that,2567,t1,7
that,2567,t2,6
that's,2567,t2,4
the,2567,t2,11
their,2567,t2,1
them,2567,t2,6
there,2567,t2,11
there's,2567,t2,1
these,2567,t2,1
they,2567,t2,3
this,2567,t1,2
this,2567,t2,34
three,2567,t2,3
time,2567,t2,1
top,2567,t2,1
toy,2567,t1,1
toys,2567,t1,1
toys,2567,t2,2
truck,2567,t1,1
tummy,2567,t2,1
turn,2567,t2,1
two,2567,t2,9
uh,2567,t2,5
uhoh,2567,t2,2
uhuh,2567,t2,1
um,2567,t2,4
up,2567,t2,3
wanna,2567,t1,3
wanna,2567,t2,1
want,2567,t2,16
was,2567,t2,1
way,2567,t2,1
we,2567,t2,1
weeble,2567,t2,1
went,2567,t2,1
what,2567,t1,4
what,2567,t2,8
what's,2567,t1,3
what's,2567,t2,4
whe,2567,t2,1
when,2567,t2,2
where,2567,t1,1
where,2567,t2,3
where's,2567,t2,4
whoops,2567,t1,1
will,2567,t2,1
willn't,2567,t2,3
with,2567,t1,1
with,2567,t2,3
wolf,2567,t2,2
worm,2567,t2,1
yeah,2567,t1,1
yeah,2567,t2,7
yep,2567,t2,3
yes,2567,t2,2
you,2567,t2,25
your,2567,t2,2
yup,2567,t2,6
are,2576,t2,1
ball,2576,t2,2
bird,2576,t1,1
bird,2576,t2,1
brown,2576,t2,1
bye,2576,t2,1
car,2576,t1,1
cookie,2576,t2,1
cookie_monster,2576,t2,2
daddy,2576,t2,1
dog,2576,t1,3
draw,2576,t2,4
duck,2576,t1,3
duckie,2576,t2,1
eating,2576,t2,1
egg,2576,t2,1
everybody,2576,t2,2
eyes,2576,t2,1
fine,2576,t2,1
gone,2576,t2,2
haha,2576,t1,2
here,2576,t2,13
hey,2576,t2,1
hi,2576,t2,3
house,2576,t2,1
how,2576,t2,1
i,2576,t2,1
in,2576,t2,1
mm,2576,t1,7
more,2576,t2,1
must,2576,t2,1
night,2576,t2,6
no,2576,t2,1
noise,2576,t2,2
oh,2576,t2,2
okay,2576,t1,1
on,2576,t2,2
one,2576,t2,1
paper,2576,t2,3
people,2576,t2,9
quack_quack,2576,t2,1
rainbow,2576,t2,1
rainbow_bright,2576,t2,4
right,2576,t2,2
sleep,2576,t2,5
that,2576,t2,3
the,2576,t2,1
there,2576,t2,7
this,2576,t2,1
uh,2576,t2,5
up,2576,t2,1
what,2576,t2,1
yeah,2576,t1,1
yeah,2576,t2,16
you,2576,t2,3
a,2585,t2,6
ah,2585,t1,2
another,2585,t2,1
away,2585,t2,2
baby,2585,t1,3
ball,2585,t1,2
bed,2585,t2,3
bird,2585,t1,1
bird,2585,t2,1
boop,2585,t2,2
bounce,2585,t1,3
brush,2585,t2,2
bug,2585,t2,1
bunny,2585,t2,1
can't,2585,t2,1
catch,2585,t1,5
chicken,2585,t2,2
cluck_cluck,2585,t2,4
cookie,2585,t2,2
cookies,2585,t2,2
cow,2585,t1,1
crayons,2585,t2,2
cup,2585,t2,1
daddy,2585,t2,1
does,2585,t2,1
dog,2585,t2,1
doggie,2585,t1,4
don't,2585,t2,2
done,2585,t1,1
door,2585,t2,1
down,2585,t2,1
draw,2585,t2,1
duck,2585,t1,2
e,2585,t1,2
egg,2585,t2,1
eyes,2585,t1,4
face,2585,t1,4
face,2585,t2,1
fish,2585,t1,1
franny,2585,t2,1
game,2585,t2,1
girl,2585,t2,1
go,2585,t2,1
goodbye,2585,t2,1
got,2585,t2,1
