CUE,TARGET,root,raw,affix,old,jcn,lsa,fsg,bsg
abandon,abandon,1,1,1,1,,,,
abandon,acquire,0.075668676,0.08324183,0,,,,,
abandon,call,0.031440291,0.034679908,0,,,,,
abandon,fly,0.126370055,0.133059664,0,,,,,
abandon,get,0.039059275,0.042968447,0,,,,,
abandon,go,0.387759389,0.349675538,0,0.305007794,,,,
abandon,rise,0.299310514,0.321839367,0,,,,,
abandon,spend,0.230428489,0.26796045,0,,,,,
abandon,take,0.114886061,0.119363173,0,,,,,
abdomen,abdomen,1,1,1,,,,,
abdomen,ache,0.15947323,0.108888618,0,,,,,
abdomen,ankle,0.09626042,0.077463722,0,,,,,
abdomen,arm,0.286372497,0.237139008,0,,,,,
abdomen,arms,0.253597908,0.245690721,0.139308594,,,,,
abdomen,bicep,0.232842922,0.117371443,0.352855417,,,,,
abdomen,blink,0.018824004,0.012853065,0,,,,,
abdomen,bowels,0.501481498,0.595626722,0,,,,,
abdomen,burp,0.244023906,0.249929965,0,,,,,
abdomen,colon,0.253653378,0,0,,,,,
abdomen,drool,0.04945469,0.042654005,0,,,,,
abdomen,eat,0.08805468,0.090185849,0,,,,,
abdomen,elbow,0.168099544,0.15495122,0,,,,,
abdomen,eyes,0.227027862,0.165097408,0,,,,,
abdomen,finger,0.162814554,0.148563653,0,,,,,
abdomen,glands,0.316154816,0.339843146,0,,,,,
abdomen,heart,0.194873463,0.119504884,0,,,,,
abdomen,hiccup,0.127397738,0.097476686,0,,,,,
abdomen,intestine,0.287703497,0.254639939,0,,12.643823,0.286157,0.013,0
abdomen,kidney,0.295625784,0.179497571,0,,,,,
abdomen,knee,0.171772112,0.168748681,0,,,,,
abdomen,knees,0.145841072,0.191379077,0,,,,,
abdomen,leg,0.186338334,0.172514678,0.191330626,,,,,
abdomen,liver,0.317984534,0,0,,,,,
abdomen,lung,0.241331863,0.195095094,0,,,,,
abdomen,lungs,0.190568266,0.169543083,0,,,,,
abdomen,massage,0.150667645,0.150030753,0,,,,,
abdomen,mouth,0.098179172,0.092820352,0,,,,,
abdomen,neck,0.201887445,0.186545824,0,,,,,
abdomen,pound,0.029115695,0.019880251,0,,,,,
abdomen,protein,0.185085698,0.135461898,0,,,,,
abdomen,ribs,0.156927383,0.187366196,0,,,,,
abdomen,shoulder,0.245131713,0.207611098,0,,,,,
abdomen,skin,0.284559412,0,0,,,,,
abdomen,stomach,0.227908375,0.206754343,0,,0,0.293251,0.566,0.021
abdomen,swallow,0.16672767,0.155120537,0,,,,,
abdomen,swim,0.021398025,0.014610611,0,,,,,
abdomen,tongue,0.127315133,0.073348039,0,,,,,
abdomen,tremble,0.116861599,0.112830195,0,,,,,
abdomen,vomit,0.447830123,0.458668861,0,,,,,
abdomen,waist,0.276905381,0.283607264,0,,,,,
abduct,abduct,1,1,1,,,,,
abduct,acquire,0.113024569,0.112814488,0,,,,,
abduct,burglary,0.339751176,0.181350778,0,,,,,
abduct,captive,0.172992831,0.193469385,0,,,,,
abduct,detach,0.350998028,0.379049022,0,,,,,
abduct,escape,0.189118566,0.19579832,0,,,,,
abduct,garbage,0.156341756,0.100942625,0,,,,,
abduct,hostage,0.380141208,0.274036102,0,,,,,
abduct,kidnap,0.433241668,0.427513502,0,,0,0.000352,0.453,0.079
abduct,minus,0.264601116,0.289211739,0,,,,,
abduct,move,0.060188287,0.061089031,0,,,,,
abduct,prisoner,0.054379221,0.062189765,0,,,,,
abduct,push,0.044766148,0.045202155,0,,,,,
abduct,remove,0.630294414,0.630832967,0,,,,,
abduct,remover,0.421641701,0.346036876,0,,,,,
abduct,rob,0.561069758,0.571890208,0,,,,,
abduct,robbery,0.425265755,0.21049191,0,,,,,
abduct,snatch,0.60769164,0.610601498,0,,,,,
abduct,strip,0.420415805,0.456452503,0,,,,,
abduct,subtract,0.455538827,0.479397877,0,,,,,
abduct,subtraction,0.490706999,0.509951929,0,,,,,
abduct,thief,0.423280756,0.172241485,0,,,,,
ability,ability,1,1,1,1,,,,
ability,ambidextrous,0.119440525,0.060741683,0,,,,,
ability,capability,0.426757671,0.255461941,0.01214415,0.384010442,1.417451,0.185486,0.119,0.282
ability,competence,0.399535899,0.185938826,0.139897446,,3.655265,0.471061,0.063,0.175
ability,energy,0.413212745,0,0,0.09207928,,,,
ability,impossible,0.275280324,0,0,,,,,
ability,inability,0.417625615,0.211843276,0,,8.46081,0.334056,0.042,0.046
ability,skill,0.457282969,0.24095817,0.039946607,0.114847744,3.911001,0.594189,0.056,0.102
ability,strength,0.222150238,0.171391831,0.00811472,0.120521504,1.999468,0.292915,0.056,0.028
ability,strong,0.228924744,0.178073301,0.040814627,0.103574416,,,,
ability,talent,0.490321154,0.19796007,0.129350507,,4.163232,0.433068,0.035,0.048
able,able,1,1,1,1,,,,
able,acquire,0.058604929,0.024999023,0.131813427,0.065850403,,,,
able,ask,0.044902935,0.019154183,0.071971217,,,,,
able,capability,0.162028402,0.222499072,0.016984172,0.329765515,,,,
able,competence,0.209200341,0.203522895,0,,,,,
able,construct,0.052226814,0.023226754,0.155822256,,,,,
able,drill,0.037838037,0.014034022,0,,,,,
able,experience,0.157937092,0.060886023,0.119952029,,,,,
able,future,0.170047867,0,0,,,,,
able,knock,0.035374997,0.015089864,0.096175585,,,,,
able,lead,0.039266478,0.016749847,0.04990306,,,,,
able,notice,0.035143361,0.013117173,0,,,,,
